index,year,month,day,content,likecount,nickname,user_id
1,2017,11,26,为啥这首人好少,10,和你去看海_,626662998
2,2017,11,26,好听,1,大帅逼170813,516888270
3,2017,11,15,夏天的感觉,1,冰镇可乐珍珠奶茶,469853197
4,2017,11,7,"KTV神曲居然评论这么少。。。
阿信创作这首歌词的时候真的很有想法，很正很暖很积极！",4,黄太阳依然那么热,88031158
5,2017,11,1,劲,0,tsunshinec,418063491
6,2017,11,1,[呲牙],0,angerce,126953202
7,2017,10,25,居然有版权了[惊恐],3,沐风素雨,36100292
8,2017,10,6,因为张大仙才知道这个歌，好听[憨笑],1,你也磨人,454289866
9,2017,10,5,今天订婚现场听到的,1,898970,326352379
10,2017,9,20,在07年的夏天，去当时喜欢的女孩子的空间里听到的。,4,Gainax0827,119779729
11,2017,9,17,高中唱来唱去不厌倦曲目,2,帐号已注销,95511122
12,2017,9,15,五月天阿信作词作曲啊各位！！！！,7,Rivincy_311,290322187
13,2017,9,15,阿信作词作曲啊各位！！！！,4,Rivincy_311,290322187
14,2017,9,15,评论这么少？！,3,Rivincy_311,290322187
15,2017,9,5,收录在不同的专辑里的评论不一样。《完美的一天》专里评论几千,0,KitKat__,41723861
16,2017,9,4,不科学啊。。。！,0,Pronoia_喵,375018222
17,2017,8,14,因为还有个正版的。。。,1,赤蛇萦绕,419916927
18,2017,8,12,没道理，这么好听的歌评论才这么点，[呆],2,我最爱的太子奶呢,132091167
19,2017,8,10,不可以下载可以直接加爱心啊，多好听的歌,0,超酷晴,486903733
20,2017,8,8,评论这么少不科学,0,对我来说坦诚就够了,350354384
21,2017,8,4,你说活在明天活在期待不如活的今天很自在[吐舌],0,啊卷酱,127035611
22,2017,7,26,其中一个版本的！,0,Sia彡,387182317
23,2017,7,23,我们见到的太阳是8分钟之前的太阳，见到的月亮是1.3秒之前的月亮，见到一英里以外的建筑是5微秒之前的存在，即使你在我一米之外，我见到的也是3纳米秒以前的你。我们所眼见的都是过去。,3,让可楽在冰一点-,485092126
24,2017,7,22,这版本才是ktv的嘛,0,暗夜尛鬼,37108512
25,2017,7,21,五月天冠佑的鼓[幽灵],2,一世人啊,129114657
26,2017,7,20,唱给男朋友[爱心],1,乌龙白桃奶,271827994
27,2017,7,18,( ⊙ o ⊙ )是的，找不到陈妍希唱的[流泪],0,枝间片雨,418547112
28,2017,7,17,燕姿的歌，以前不懂，现在开始懂了。这歌阿信也唱过，我最喜欢这么说来很不单纯你陪我看海，海那么蓝……这一句,3,DT杰以伦米,370385690
29,2017,7,16,难得一见评论一百多，一般收藏的歌都999+,0,大眼睛的小甜瓜,131086466
30,2017,7,11,怎么评论突然没有了[惊恐][惊恐][惊恐],0,似水流年忆流年,432142727
31,2017,7,10,看外公芳龄38搜到这首歌的 好听ovo,2,温暮白,537812068
32,2017,7,9,我希望能和你能从第一天走到最后一天[爱心],1,理科生男友,513362876
33,2017,6,29,没错,0,旧人旧事新人家,414679170
34,2017,6,28,如果一首歌好听但是评论很少  那么说明这首歌 一定有另一个版本[奸笑],8,浪阿zZ,274681799
35,2017,6,28,为啥不火呢这歌[呆][呆],0,除夕123,93375291
36,2017,6,27,这个评论我就不服了。,1,boscso,393218752
37,2017,6,26,这鼓点太爽了,0,阿深---,362152084
38,2017,6,26,KTV必点[憨笑],0,丸子爱红豆,278933157
39,2017,6,26,我也是看了电影来找，但找不到张之夏唱的。感觉张之夏唱的比燕姿干净悦耳。,0,andybar,333965716
40,2017,6,25,怎么可以才136的评论这未免也太不科学,1,Qiaoqin_蘇,128302179
41,2017,6,24,超喜欢这首歌,2,naiveoorange,131199866
42,2017,6,18,听这个歌曲就觉得自己不是单身狗,3,小王Classmate-,262839354
43,2017,6,16,[可爱],0,萌面大叔-_-,44660445
44,2017,6,16,同道中人 刚刚看完 [憨笑][憨笑][憨笑],2,初丶夏丿,364541073
45,2017,6,15,我啊,2,请寄给我一封情书,323762390
46,2017,6,9,海外[狗]只能听燕姿的这首和花木兰。第一次听，大约十多年前。,1,用户398516175,398516175
47,2017,6,7,快本来的，张若昀唱得好好听,5,Q-Q浅,502011314
48,2017,6,4,怪不得！！,0,跟着我转个圈儿,129833893
49,2017,6,4,评论少是因为有另一版[奸笑],0,浪阿zZ,274681799
50,2017,6,3,这么好听的歌居然评论这么少！！这个词写的不要太好不要太甜了好嘛！！～而且我喜欢前端比副歌还好听～～想到你 多少个第一次,1,跟着我转个圈儿,129833893
51,2017,6,2,first day——f.i.r  stephaine mayday[爱心][爱心][爱心],2,seizeth,105049291
52,2017,5,31,五月天也唱了这首歌,0,继续听歌吧,45556994
53,2017,5,31,每次听这首，就莫名的好开心,1,Shan3慢悠悠,51974327
54,2017,5,28,我一直以为这首歌是五月天唱的,1,Ilike德纲,309014167
55,2017,5,25,适合夏天的歌，心情飞起来～,0,Emooooooon,303884047
56,2017,5,24,快本过来,10,Forever--forever,292237182
57,2017,5,10,因为评论都在《完美的一天》那张专辑,0,用户277381598,277381598
58,2017,5,9,这首歌就这点评论么～不科学啊！,1,一天一天洗衣机,364529166
59,2017,5,3,惊讶没有999＋,1,阿川快跑,105223465
60,2017,5,3,到专辑完美的一天的第一天，评论999+,1,糖包米酒你,432932090
61,2017,5,3,找孙燕姿到那里听第一天999+,1,糖包米酒你,432932090
62,2017,5,3,你找孙燕姿然后找到第一天，你会看到999+,1,糖包米酒你,432932090
63,2017,5,2,👏,0,脑袋里有黑洞,276233944
64,2017,4,30,这时候你就应该找找这歌有没有另外的版本[鬼脸],1,吃掉娜朵花,134222226
65,2017,4,15,玩QQ飞车来的[大哭][大哭][大哭],1,uncle904,361990856
66,2017,4,13,这么说来，很不单纯，你陪我看海，还那么蓝，我又好像不应该把你想的有点坏[憨笑],0,爱遛狗的二毛,392506233
67,2017,3,31,楼下也是霉亲，哈哈哈，有共同爱好,0,做个善良的小仙女,325783649
68,2017,3,30,听这首歌真是让人心情畅快😀😀,4,当莴和世界不一样,248701217
69,2017,3,28,霹雳爷们儿牛逼,1,摇船远去进谁家,55848253
70,2017,3,27,爱你,1,小史风轻云淡,442861423
71,2017,3,25,对，还有挺多中韩合拍片，中国电影问题还很多,1,萌面大叔-_-,44660445
72,2017,3,25,影片开头字幕就说了根据韩国极速绯闻改编，我想应该也提前处理好版权问题了吧,0,萌面大叔-_-,44660445
73,2017,3,24,有啊，就是陈妍希得角色参加比赛唱的,0,萌面大叔-_-,44660445
74,2017,3,24,@诃氻叽叽 ,0,林守乐,55243746
75,2017,3,24,里面有这首吗？？？,0,林守乐,55243746
76,2017,3,10,等到我谈恋爱的第一天 我就要分享这首歌,3,Sumeyy,99510035
77,2017,3,10,"最爱的歌没有之一
那一年毕业，和室友在晚会舞台上唱着这首歌，然后离开呆了四年的大学，泪流满面",2,瓜子去壳,406485804
78,2017,3,6,姿妈永远十八岁,0,阿阿阿阿阿晚点,51192858
79,2017,3,4,初中时玩炫舞经常听😅,1,Jerna,281484568
80,2017,2,15,评论居然不到100[惊恐],0,Ace贾小曼,130210067
81,2017,2,5,评论这么少！！,0,两眼鱼泡泡,246631947
82,2017,2,5,评论评起来 不科学,2,我和你相隔春风十里,85577292
83,2017,1,31,好欢乐啊～～～～,0,hhhkkkkh,308339612
84,2017,1,25,不记得以前什么时候听过了,0,豆蔻天香,74698338
85,2017,1,24,这个可以下载哎～,0,senruhana,85213495
86,2017,1,19,欢快的好音乐🎵,0,该账号无法注销_,357824241
87,2017,1,12,学校老放,0,x94xxxx,374513042
