index,year,month,day,content,likecount,nickname,user_id
1,2019,11,24,雷醉這麼少人的嗎？哈哈,1,一个有着80后情愫的90后,47638914
2,2019,11,21,她的歌没一首不喜欢的,0,chenyuru0924,266077689
3,2019,11,7,听就对了哪有这么多话说,0,林俊裕b,386412262
4,2019,11,5,哈哈哈哈哈哈,0,气场太弱,115128568
5,2019,11,4,累zei~,0,____Z,41087524
6,2019,11,4,超酷的,0,Kaierala,284160087
7,2019,11,2,尽管每次都听成一路上猥猥琐琐但还是超级酷！！！！,0,vInCent哇,48926777
8,2019,11,1,老大我爱你,0,kkkkrysliang,109966174
9,2019,10,30,无论我成了什么狗样 我都相信我前途无量,2,锦谣儿,580361487
10,2019,10,27,被遗忘的金曲,0,骑士1989,75521112
11,2019,10,26,有点陈洁仪的意思,0,DW-88,490707381
12,2019,10,23,感觉永远不会过时。,1,善酒l,303480940
13,2019,10,23,她的歌，越听越好听。,1,善酒l,303480940
14,2019,10,17,随便了随便了,0,互联网石原里美,435471851
15,2019,10,17,la～～～～la～～～,1,hhhbbq,402505249
16,2019,10,10,现在也不流行“他妈”这个词了吗😂,0,又想起你曾说的陪我到最后,1970715887
17,2019,9,25,俺又来了,0,也不是猪只打呼,355734135
18,2019,9,25,真好听啊啊啊啊,0,也不是猪只打呼,355734135
19,2019,9,16,喜欢“lalalalalalala”,0,Heyheyxfy,45158791
20,2019,9,15,高音的转音有点让我觉得印度元素？,0,抽风的柑橘,111910050
21,2019,9,13,发现一首宝藏,0,再也没有纯白的灵魂-,388303192
22,2019,9,12,首首都好听的。,0,Derek_k0,559866643
23,2019,9,10,别人怎么说  心都碎了还管别人怎么说  这一句唱得真调皮~,4,淡味当药,447422790
24,2019,9,9,突然好想听 第521个评论！,0,喂sasa,120854520
25,2019,9,8,好久没听这首了，简直太喜欢啦,1,MNSM11,633515631
26,2019,9,8,"第二专辑的每一首歌都很有水准！
当年的我每一首歌都听了上百遍……
长大了的我已经没有那一份听完一整张专辑的耐性了……[多多捂脸]",0,菲尔粑粑,506991836
27,2019,9,5,真好听🤭,0,也不是猪只打呼,355734135
28,2019,9,5,塑料普通话哈哈哈哈哈,0,霉头霉脑云散月现自在飞花slay,42294326
29,2019,9,5,太好听了，我爱燕姿[流泪],1,霉头霉脑云散月现自在飞花slay,42294326
30,2019,9,5,+10086,0,霉头霉脑云散月现自在飞花slay,42294326
31,2019,9,3,好听极了,1,韩潇然,53956444
32,2019,8,31,哈哈哈哈哈哈，现在已经不流行鸡血这个词啦，时间真娘亲的快,0,今天星期五24,623180764
33,2019,8,24,绝不将错就错,1,御魂惨案,564523238
34,2019,8,20,听燕姿才知道自己记性这么好。18年了歌词还背的下来[大哭],7,原谅妙妙,104920217
35,2019,8,17,爱了,1,圈圈圈圆圈圆圈圈的圆,260089010
36,2019,8,8,太多了,0,孙燕姿丶,1813871469
37,2019,8,7,每次听都会有新的最爱,4,今天夜间到明天白天,60011618
38,2019,8,7,很喜欢,3,我很鱼块,125768521
39,2019,8,5,燕姿的冷门歌曲 ,2,飘哥有点飘,74300756
40,2019,7,28,真的觉得这首歌很好听,3,cutexixixigua,1468034495
41,2019,7,28,明明很特别很好听啊,2,lithium00000,295238309
42,2019,7,28,为什么评论那么少,0,lithium00000,295238309
43,2019,7,27,我的心声,0,糖---爱,1808065670
44,2019,7,26,冷门金曲啊啊啊,3,Sparrrrk,270935914
45,2019,7,24,不标准的累赘二字都很可爱[憨笑],2,咔咔鲁,86372802
46,2019,7,24,垒醉居然这么少人,4,苑子潯的小号,1548957065
47,2019,7,23,有段时间对这首歌特别着魔。。那还是听磁带的时代。。单曲循环了好久,2,李小手1705,479407259
48,2019,7,21,也太好听了吧,0,偏执鲸鱼Q,475145754
49,2019,7,20,好听,0,Davie504,57455489
50,2019,7,13,很久没听了，重温,0,梨花满地1806,1494003023
51,2019,7,13,讲道理，我还没唱完都已经喘起来了。是挺累的。,0,rfmjs,1357855390
52,2019,7,11,真的好听,0,染个我,424382918
53,2019,7,10,这首是真的有点冷门了，也太难驾驭了,2,刘大萌咩咩,56744554
54,2019,7,7,哇，单曲循环了[大哭],0,喜欢听歌的九月,563787684
55,2019,7,4,心都碎了还管别人怎么说,3,pinkbread,126381758
56,2019,7,3,本来已经在愁明年演唱会门票越来越难抢了😭,0,鳐不可及,320937730
57,2019,7,3,每一首都好听 刷不完的,0,鳐不可及,320937730
58,2019,7,2,啊啊啊,1,跳舞的梵谷yanzi,318974517
59,2019,7,2,过999,1,跳舞的梵谷yanzi,318974517
60,2019,7,2,刷起来呀,2,跳舞的梵谷yanzi,318974517
61,2019,7,2,酷酷的,0,潮汐透过指缝,253097606
62,2019,7,1,第一首看歌名想不起怎么唱的歌,0,kendy的风筝,362892899
63,2019,6,30,打卡[多多耍酷],0,Chertime,83946830
64,2019,6,29,怎么那么好听,1,禾乔的男神津,120713339
65,2019,6,27,感情的世界没有错与对,1,mini薄荷糖,282909247
66,2019,6,27,心都碎了还管别人怎么说,1,Stefanie71,410964408
67,2019,6,25,这首歌是真难唱。。。。,0,姿姿不倦hhh,574992335
68,2019,6,25,助攻,0,s1ck1000,1471605268
69,2019,6,25,潘协庆写的曲都好考验肺活量鸭~~王菲的半途而废也是各种转音~,5,九月里平淡无聊,549517739
70,2019,6,17,497打卡，这首歌我也听得比较少诶,2,0606-不知,1872697887
71,2019,6,14,小时候特别喜欢这首,1,珈曳,637769065
72,2019,6,9,好听,1,跳舞的梵谷180930,1542066811
73,2019,6,8,喜欢燕姿,1,FannySong,74028050
74,2019,6,8,好听,0,moniisi,37783140
75,2019,6,5,这张专辑是我当年的入坑专辑。每一首歌都特别的熟悉。当年买的是卡带！广州美卡！,2,Zoublazou-,412748376
76,2019,6,4,这首歌不错，节奏不错，歌词不错，很不错,1,毛娃XiE梦琦,409298866
77,2019,6,4,这张专辑真是宝藏，看歌真的不能看名字，看人不能只看脸，听过才知道，看人还要看缘分，,2,毛娃XiE梦琦,409298866
78,2019,5,30,为神专马一个。,0,西红柿炒鸡蛋就是番茄炒蛋,246333358
79,2019,5,27,我咋感觉她唱的是累贼[多多笑哭],4,走走婷婷171219,1316223034
80,2019,5,16,我要吹爆这首歌,1,Hey-Shangrila,92916753
81,2019,5,11,突然发现这首歌很好听？[爱心],2,Hey-Shangrila,92916753
82,2019,4,27,谁听到谁就赚到,1,孙燕姿best,46251605
83,2019,4,27,优秀！,2,孙燕姿best,46251605
84,2019,4,14,心都碎了，随便了，痛都痛过了,0,我家有个零,485737542
85,2019,4,8,冷门金曲!,0,冰冰的小荔枝,286300516
86,2019,4,8,狠不下心责备只好知难而退,3,haddock_,310820852
87,2019,4,6,不是每首好听的歌都火,2,啊依然范特西,424673030
88,2019,4,6,不想成为谁花心的累赘,1,亮亮亮23333,384031894
89,2019,4,3,评论呢,1,愿君依旧笑,559237310
90,2019,4,1,及时止损,2,pure_sue,77695577
91,2019,3,30,喜欢上燕姿因为我姐😝😝😝小时候家里的CD全都是燕姿的！！！！长大了就觉得，还是她的歌好听,7,滕滕滕啊,503317136
92,2019,3,26,编曲真不错啊！,2,medsir,70093854
93,2019,3,26,累酔,0,周小洞,117008535
94,2019,3,23,加赞[多多大笑],0,judelc,99703579
95,2019,3,21,妈鸭，以前的专辑也太用心了吧，非主打都这么好听，前奏一出来就找作曲，原来是潘协庆！这歌儿放现在绝对主打水平。,3,苍目莲一,15350973
96,2019,3,18,474～,0,左歌Caelyn,40774970
97,2019,3,14,"作曲：潘协庆
作词：潘协庆
编曲：Terence Teo

已经添加修改，请小伙伴们重新刷新歌词",1,作词_作曲_编曲_MV导演天下第一,546057330
98,2019,3,9,等20年演唱会中。,2,落落钕孑,44727379
99,2019,3,9,都是你，害我每次唱到这句都想笑！,4,木兰鸡仔-Joe,488896302
100,2019,3,9,超爱的一首歌！,0,木兰鸡仔-Joe,488896302
101,2019,3,6,很好听啊，评论好少,0,天天年年平日快乐,1331454641
102,2019,3,5,心都碎了，还管别人怎么说,1,芮嗒,278660688
103,2019,3,1,对不起 我听出了吴青峰的感觉 只想说我喜欢的人是相似的,2,青山惠美_,81814134
104,2019,2,24,我觉得没几个人唱得好这首歌，除了姿妈,5,圈圈圈圆圈圆圈圈的圆,260089010
105,2019,2,24,冷门歌曲，炸裂好听,1,圈圈圈圆圈圆圈圈的圆,260089010
106,2019,2,13,爱,0,天天年年平日快乐,1331454641
107,2019,2,10,我喜欢的歌评论怎么都这么少……这首歌这么好！,0,转身是空,111727561
108,2019,2,5,这首歌居然这么点评论！！！时隔十七年还是会唱,3,小Yuan不小,362536299
109,2019,1,27,15年前在网吧通宵，带上耳机循环的歌曲。当年的女友嫁人了，希望你幸福,1,王禹尧的爸爸,575712344
110,2019,1,23,我才是461,0,棒棒在听歌,90947403
111,2019,1,21,460！好听！,0,酸酸酸酸酸酸酸奶,319292581
112,2019,1,12,我的宝藏,2,StefaineSun,1504996081
113,2019,1,10,457了,0,小懒男121,607826579
114,2019,1,8,456哈哈哈,0,LG林叶,564692276
115,2019,1,5,[多多可怜],0,安静时听歌,80344378
116,2019,1,2,年轻的时候以为不读书不足以了解人生，直到后来才发现如果不了解人生，是读不懂书的。读书的意义大概就是用生活所感去读书，用读书所得去生活吧。 ,2,HarperYug,435162942
117,2018,12,22,好听,1,另-张脸,56020714
118,2018,12,21,陪伴整个青春的孙燕姿，依旧喜欢，会继续喜欢。,1,雀雀欧妈,322431679
119,2018,12,16,"孙燕姿所有的歌,我都喜欢听,超喜欢的阿..",2,苏卡不列_rMAT,411026080
120,2018,12,15,我的青春,0,小小面面,394875350
