index,year,month,day,content,likecount,nickname,user_id
1,2019,11,24,也曾努力做个让人放心的人,1,愿君依旧笑,559237310
2,2019,11,19,这首在我的前二十，别问我前面的是啥，燕姿的歌我太爱了[多多笑哭],0,一定一定要微笑呐,1697911570
3,2019,11,19,她的每张专辑怎么都这么好！,0,chenyuru0924,266077689
4,2019,11,19,心目中想要的东西是否都一样,1,chenyuru0924,266077689
5,2019,11,17,这首歌评论这么少，可我觉得很好听啊！！！,0,chenyuru0924,266077689
6,2019,11,9,冷门也特别好听啊,0,ddarkwhite,548737444
7,2019,11,4,高中春游的车上随身听听的 印象深刻,0,Kaierala,284160087
8,2019,10,29,燕姿的转音真的太好听了，每首歌都是只能姿去唱才有这种味道，btw笑声也好好听[呲牙],2,翻车的果子狸,271298911
9,2019,10,20,真的好爱这首歌,1,全都不知道,451914667
10,2019,10,19,谁都不是好惹的，如果你上这个软件只是为了惹别人的话，我劝你还是别上来了。,0,钙莉,260207642
11,2019,10,19,惹 你居然说惹 big 胆,0,LeTicket,434949529
12,2019,10,14,小时候用攒了好久的钱去买了《风筝》专辑，睡前悄悄的把磁带插入复读机，带上耳机，月光正好洒在床上，睁开眼就可以看见皎白的月亮，这一幕我一直记得。,3,心情哼尘歌,250190587
13,2019,10,14,双,0,8楼永远爱3楼,80342819
14,2019,10,2,这首我也可！！！,0,也不是猪只打呼,355734135
15,2019,9,28,2020年的演唱会我能听到这首歌吗？,2,相隔着银河,90200106
16,2019,9,26,日常表白孙燕姿,1,扛起孙燕姿就跑,2594529
17,2019,9,23,哟吼,0,kyoku可,46291608
18,2019,9,22,gay,0,左冯翊扶风,357529549
19,2019,9,22,上头,1,sunjiahang,375838001
20,2019,9,19,十多年的老姿迷，不听副歌部分真的想不起有这首歌了[多多大哭],0,清寒ro,259550556
21,2019,9,18,停一会儿，再往前,1,泡泡是小太阳,421058825
22,2019,9,16,"差点不记得有这首歌惹",1,钙莉,260207642
23,2019,9,4,gay,0,冰河铁马都是你,115854161
24,2019,9,1,又来听这张专辑。,1,Erika_Linder,305117600
25,2019,8,30,明明不用明明这两个字,1,iamalvinwoo,346832507
26,2019,8,27,居然不是999+,0,nidemingzi你的名字,586048443
27,2019,8,24,这里，双[奸笑],1,sweettteee,416746687
28,2019,8,21,KTV唱她的歌的男生给我举个爪。然后说出你的性取向[大笑],9,kyoku可,46291608
29,2019,8,21,我也特别喜欢她😂,0,硪餉醭鋤濑,1845968188
30,2019,8,17,01年，风筝这张专辑刚出的时候，就超级喜欢这首歌，喜欢了这么多年…,3,Stag17,96083844
31,2019,8,16,无法理解这首歌热度这么冷，这明明是我的最爱TOP5,3,mikarly,316903361
32,2019,8,12,刚一出道就听了，一直到现在。所有的歌手里最喜欢的还是她。,2,蛇蛇蛇皮走位,135555095
33,2019,8,9,这真假音转的让人上头,5,提猜,312531759
34,2019,8,6,练习生,3,Snow---吹雪---,1749844984
35,2019,8,4,我超喜欢燕姿的这首[大笑][大笑][大笑],2,一定一定要微笑呐,1697911570
36,2019,8,3,此时，一位练习时常两年半的个人练习生路过。。,17,我在2020年等你,1615304892
37,2019,8,3,转音绝了,1,我很鱼块,125768521
38,2019,7,30,两年半,3,他绝对不会,1616768760
39,2019,7,30,两年半,3,账号已注销___-----,557280508
40,2019,7,29,练习生？,0,BTS-Springday,495001062
41,2019,7,29,好听又励志,1,Sparrrrk,270935914
42,2019,7,16,嘿，日出以前，我就要醒着开窗等待光线!,3,标量-时间,1467060801
43,2019,7,14,笑的美[呲牙],3,一个有着80后情愫的90后,47638914
44,2019,7,12,这首歌真好听,3,超人类Jf,254080732
45,2019,7,12,孙燕姿的声音真的很抓耳。,3,木匠邓,637691119
46,2019,7,11,这么少评论？,2,XDDDDDDP,515508896
47,2019,7,10,日出以前我就要醒来开窗等待光线,2,haiicandy,1328043669
48,2019,7,10,初中天天听阿,1,姿家人,263952201
49,2019,7,6,突然这首以前的歌听出了新的感觉，很适合现在的心情,1,ZolaLisa,1288304205
50,2019,7,6,当年《风筝》里面非常喜欢的一首，欢快又励志~,3,amberhupo,117417048
51,2019,7,5,燕姿还有多少两字歌曲是我没听过的[呆],3,酷酷的阿姿,261060427
52,2019,7,3,停一会儿，再往前,3,泡泡是小太阳,421058825
53,2019,7,1,打卡,0,Chertime,83946830
54,2019,7,1,好想停下来一段时间，不论是心态还是生活乱七八糟，还被各种事情赶着往前走，闷,1,不如给我王子面,126788845
55,2019,6,30,也曾努力做个让人放心的人,1,Stefanie71,410964408
56,2019,6,29,听刘德华的练习，听孙燕姿的练习，我是真的已经开始练习，开始慢慢着急，着急这个世界没有钱,5,许嵩的左手,274077807
57,2019,6,28,2001流星花园的热播 每次听练习追剧吃泡面 真好,1,o呆毛,407968
58,2019,6,28,停一会，再往前,2,素心一颗,97792416
59,2019,6,26,是啊，一想到燕姿的老歌都有18 9年了，就很感慨。。,1,Z___Robin,1653972546
60,2019,6,25,我来组成999。,1,s1ck1000,1471605268
61,2019,6,25,学渣都是这么操作的,0,3an3,107437168
62,2019,6,23,为嘛还没999，来吧，评论走起来，走走走！,1,山丘王者,124580067
63,2019,6,23,复读机都不是拿来学习的哈哈[开心],0,山丘王者,124580067
64,2019,6,23,好听,1,tree-river,2464568
65,2019,6,23,好想练习去爱一个人呀,0,长相思-_,274810126
66,2019,6,23,燕姿。,0,可楽米酱,317299362
67,2019,6,19,小时候这个歌mv好激励人心,0,置玖高殿上,342758843
68,2019,6,16,燕姿的声音真的很特别。,0,wanghai10,507827829
69,2019,6,13,这歌存在了18年啊…,1,糖很甜呦,314909851
70,2019,6,12,为10W+打卡,0,国民男神孙小东,381910253
71,2019,6,10,一直在练习耐心呢，嘻嘻,1,一定一定要微笑呐,1697911570
72,2019,6,3,以前磁带的第一首歌！,0,心情哼尘歌,250190587
73,2019,6,2,打破555,0,云云云云流,1334766690
74,2019,5,24,听来听去，还是觉得曾经的歌好听，听得人想哭呢，这盘磁带陪我度过了很多个一个人写作业的晚上,3,lysc237,292664986
75,2019,5,20,mark,0,vicic__,91105065
76,2019,5,19,每天都要往前呢,0,想你快点死,267056560
77,2019,5,18,爱姿患者,2,爱姿患者,376450780
78,2019,5,11,我是551，今天我考过了演艺经纪人资格证[亲亲],1,远野白树,58560157
79,2019,5,9,我是550。我有爱姿病~[多多大笑],2,远野白树,58560157
80,2019,5,4,美！舒服！,0,是小豹子哦,376298268
81,2019,5,1,stefanie sun hello,0,ANTHONY_CHAN_,480447477
82,2019,4,30,嘿呀嘿呀999呀！,0,深深呼吸fate,1547633662
83,2019,4,26,《风筝》这张专辑真的是个宝藏啊,2,燕姿钻石,325132325
84,2019,4,23,感觉孙燕姿是一个很清澈的女孩子，安静的做着关于爱情，关于梦想，关于在生活里点点滴滴的无奈的音乐。,3,RevolverHKD,1509538174
85,2019,4,11,错了，现在才是545,1,我就是一个有娱乐精神的人,128854763
86,2019,4,11,545，我是我，哈哈,0,我就是一个有娱乐精神的人,128854763
87,2019,4,10,停一会儿，再往前。,0,泡泡是小太阳,421058825
88,2019,4,8,抱抱,1,君宝兔,261175084
89,2019,4,6,喜欢,0,O_oHULLO,343829645
90,2019,4,5,燕姿陪伴了我很多很多个时刻,1,Taraaaaaaaa,135854354
91,2019,4,5,大爱,0,s1ck1000,1471605268
92,2019,4,3,太喜欢了,0,王柿子_,590294985
93,2019,3,29,我要把中间那个笑声剪切为手机提示音,1,暴暴文,136263931
94,2019,3,25,十几年前了,1,訾央伪装小漠漠,247480354
95,2019,3,21,我太惨了！不是一般的惨！想哭[流泪][流泪][流泪],0,Gadugudu,385319363
96,2019,3,15,特有的声线，最好的燕姿,1,lilldan,1336492706
97,2019,3,8,好舒服的声音，很放松,1,迷幻shinee,400625173
98,2019,3,7,前奏的哼唱也太好听了qwq,0,GingerbreadGurl,551482826
99,2019,3,6,也曾努力做个让人放心的人[心碎],3,阿姚Lukaa,134806930
100,2019,3,5,啊啊啊啊 小时候听的歌,0,B计划1,301527844
101,2019,3,4,承包526楼，发现了宝藏,0,森疼,248611081
102,2019,3,2,练 习 那个 想 达到的 高度。也许我现在自己都瞧不上自己的样子。那些伤疤不让别人轻易看见，我要展现我最美的样子！练习！[可爱]想我所想，做我所做！,2,光絵,94243137
103,2019,2,28,哈哈，这首歌还真的没有现场,0,Chris_FieldT,119838752
104,2019,2,27,这歌燕姿要是唱现场会圈一大批粉[多多比耶],0,皇帝宠姿,263527508
105,2019,2,26,这么巧？我也是[大哭],0,经纬180729,1536664663
106,2019,2,26,521燕姿😘,0,我猜远远是丸子,114368537
107,2019,2,26,520燕姿❤️,1,蝉鸣的小贝壳,63026807
108,2019,2,25,怎么被那个笑声吓到了,0,___A_m,74347046
109,2019,2,24,太冷的歌不适合让太多人知道，只有真正爱她的人才了解,2,五月某日,127184252
110,2019,2,23,残暴的转音[亲],1,城西毛小湖,269213871
111,2019,2,18,青春啊,0,好汉酱,294652383
112,2019,2,14,这歌也就录音棚唱吧。。这假声转音现场可能会崩坏。。,1,Nembutal,285968582
113,2019,2,12,我的妈呀 18年前得歌！,2,Willsonmm1706,487278954
114,2019,2,2,坐了十二个小时的车，停了十二个小时的孙燕姿。致敬第十九年,0,Demo等红灯,107986266
115,2019,1,26,希望这首永远别火,0,寇乙,32081960
116,2019,1,25,浓眉毛我也很喜欢,1,Dear娜咪,417905137
117,2019,1,25,好喜欢这首歌，我是姿迷[亲亲],1,Dear娜咪,417905137
118,2019,1,14,加油,1,楼增色,1535817163
119,2019,1,9,燕姿的歌都太好听了，就是都太不好唱了[大哭],3,starnoo,39399561
120,2019,1,6,最羡慕不动声色却把日子过的很好的人。,5,暗时云渡月,453652318
121,2018,12,27,也曾努力做个让人放心的人,1,在-也不会见,263534933
122,2018,12,23,好听,1,反叛的银时,570490151
123,2018,12,22,这首竟然这么冷,2,另-张脸,56020714
124,2018,12,21,我想把你听的歌曲都评论一遍，这样你能想起我吧，傻丫头！,2,敷衍衍_,497186987
125,2018,12,21,做个让人放心的人好累啊,1,Big_loli,66068203
126,2018,12,18,才500评论,0,Jimusic,2396151
127,2018,12,14,超喜欢中间的笑场,2,半岛餐盒,442339553
128,2018,12,14,让世界听见关于你的名字[可爱],0,半岛餐盒,442339553
