index,year,month,day,content,likecount,nickname,user_id
1,2019,11,29,爱燕姿,0,8号小家家,580194314
2,2019,11,29,唱功666,0,8号小家家,580194314
3,2019,11,25,燕姿的歌总是在我孤独难过的时候陪着我。生活还很美好加油啊自己,0,那时候我们总有好多话,116094806
4,2019,11,23,燕姿好会唱啊,0,chenyuru0924,266077689
5,2019,11,22,你从前那些名字真的很美丽。,0,枭熠_,278206282
6,2019,11,19,今天孙燕姿女士官宣演唱会了吗？,0,ice-shade,562914486
7,2019,11,19,终于。,0,ice-shade,562914486
8,2019,11,14,词人是写不出词了吗……,0,Lydiaisdead,288173253
9,2019,11,13,努力等着你,0,不再寻,134606337
10,2019,11,13,听到心里去了,0,我是死湖密,55104177
11,2019,11,13,我没怎么听歌词，单纯旋律很美,1,得意尽欢吗,1995833702
12,2019,11,13,循环在听,0,得意尽欢吗,1995833702
13,2019,11,11,非常好听，年轻时的声音很有质感,1,得意尽欢吗,1995833702
14,2019,11,9,明年北京[爱心],0,-天太寒-,1747699488
15,2019,11,9,燕姿是个宝藏呀，越听越喜欢,1,爱吃柠檬的栗子,344122859
16,2019,11,9,我是900,1,爱吃柠檬的栗子,344122859
17,2019,11,6,陶喆 孙燕姿,0,鹿特丹的ST,591973236
18,2019,11,1,燕姿真的会唱啊！,0,809飞行器,382389158
19,2019,11,1,努力爱着你 孙燕姿,0,跳舞的反骨,33249451
20,2019,10,31,这个歌没有999，不科学,0,transcend0,279460949
21,2019,10,29,想等到你给我终于,0,木杉大树,95987690
22,2019,10,28,你知道收信的人永远都是我,0,不遑多让o_O,1944277967
23,2019,10,27,这首歌真的是小时候听不懂，现在听超棒,0,前思后想s,263560094
24,2019,10,25,某一些夜里，今夜也是,0,识刀客,623315109
25,2019,10,25,她的声音就感觉很真诚~,0,璀璨如此,283572221
26,2019,10,24,也太悲伤了吧,0,识刀客,623315109
27,2019,10,23,“十一月要买漂亮衣服，十二月有白雪和圣诞树，一月里来是新年，二月天气回暖，樱花和春天，或许还有爱情。一点一点数着过，日子也就不难熬了。”,0,一只大大大大大大大猪,127968112
28,2019,10,23,终于等到你 还好我没放弃,0,一只大大大大大大大猪,127968112
29,2019,10,23,结婚的时候可以放这首歌吧哈哈哈哈,0,GogoZhouzhou,1974709425
30,2019,10,22,“《终于》是一首歌”,2,晓曦Gao,404598606
31,2019,10,20,孙燕姿所有歌加起来，这个本来就算是冷门的，我不是按我的评判标准，而是用正确的意识去判断，哪像您，自己说什么就是什么,0,欢喜孙燕姿,325641238
32,2019,10,20,最后的最后，我也没等到一个终于[哀伤],2,未闻花香喔,1539330488
33,2019,10,17,当年高中时候，班里一个打篮球很帅的男生拿这盘磁带跟我换周杰伦的专辑听。,1,找一棵树,533040986
34,2019,10,17,你有你的评判标准，我也有我的评判标准，有什么可杠？你不听孙燕姿不代表其他人不听，有的人只听一两首热门金曲就装忠实粉丝，殊不知别人对于歌手的每一首歌都能倒背如流如数家珍。,0,龙卷风19900214,1662910838
35,2019,10,15,终于等到了我说我爱你，只是听的人不是你...,0,方池街的猫,254960243
36,2019,10,14,我也努力等着你！,1,難得一堅,645761304
37,2019,10,12,就是冷门还非得杠,0,欢喜孙燕姿,325641238
38,2019,10,11,曲不终...,2,OOH_YOO,371780001
39,2019,10,11,终曲,4,萌r_,1290520641
40,2019,10,6,孙燕姿这个名字念起来嘴角都是上扬的,2,Heyheyxfy,45158791
41,2019,10,3,难过 ,0,StefanieSuno,412651095
42,2019,10,1,"第一次听孙燕姿的时候我十二岁
如今已是十一点后",0,茴香lll,294136111
43,2019,9,27,燕姿充斥了整个中学时代,0,请给我个,438605078
44,2019,9,25,那时候我们说话都喜欢用终于，就像终于放假了，终于毕业了，终于离开这里了，终于过年了，仿佛任何的告别都像是一种解脱。最后我们才发现，那些自以为是的如释重负，才是让人想念的东西。,3,--和而不同,364813866
45,2019,9,22,这首歌对于孙燕姿来说还不算冷门？,0,逆光181227,1716231811
46,2019,9,17,这个歌超好听的,1,野生少女c,372185975
47,2019,9,13,好温柔,0,青衫大人-,494097358
48,2019,9,11,真的会还给我被抢走的爱情吗,0,就没有没人占用的昵称吗,258277299
49,2019,9,10,我了解那些爱过的人  心是如何慢慢在凋谢,0,然宇,54443487
50,2019,9,5,半年来第一次这么认真的听歌,1,毛毛虫0912,323067104
51,2019,9,5,难过,0,Shawn-黄,1964698
52,2019,8,29,也许会有更好更合适的他在等你。,0,Frankenstein独玖,606629941
53,2019,8,29,没有等到那个终于，一个错的人。,0,木心山石,1403121485
54,2019,8,26,好的呢,0,一个人的天空w,403894272
55,2019,8,26,刚才还在和老婆聊起燕姿，刚听燕姿时我才13岁，一个对未来和爱情充满了美好期待的少年，现在的我是一个幸福的2岁女孩的父亲，感谢燕姿，期待你来重庆开演唱会，必定全家捧场！,5,龙卷风19900214,1662910838
56,2019,8,26,这首歌真不是冷门好吧,0,龙卷风19900214,1662910838
57,2019,8,26,还是想和一个很温柔的男孩子谈一场恋爱！,5,或者不念想,1573057264
58,2019,8,25,易家扬作词诶！居然这么冷门,1,一个人的天空w,403894272
59,2019,8,25,哥 我爱你 谁让你喜欢燕姿 难受,0,零缺点-,545352622
60,2019,8,23,孙燕姿,0,sisi_yyyeah,594998874
61,2019,8,22,“偶而你会提起埋在你心里的过去，我在听 又爱听 又怕听，你从前那些名字真的很美丽。 ”  我会是你另一场回忆吗…,3,OysterMathea,1821856762
62,2019,8,22,这是一首特别有力量的歌，那种倔强，坚持，悲情，好让人感动，燕姿好多2个字的歌都好喜欢，眼神，了解，永远，任性，害怕，相信，都喜欢。期待演唱会,1,candy刘慧,346007874
63,2019,8,21,2000-2001出道了太多优秀的歌手 但是基本在2007-2008都开始走下坡路...,0,迷茫的小黄鸭,443366085
64,2019,8,21,不管是曲调还是唱腔都好温柔,2,脩木,1340128555
65,2019,8,21,我只不过是从天黑黑刚发表的那个夏天开始听她的歌而已[大笑],0,迷茫的小黄鸭,443366085
66,2019,8,20,不是姿迷你能来到这里，实属珍惜[大哭],2,皓月星尘,499727006
67,2019,8,18,竟然没有999+,0,吃橙子果的火龙,73862847
