index,year,month,day,content,likecount,nickname,user_id
1,2019,11,10,美如画,0,清心丶得生,16556450
2,2019,10,27,我爱孙燕姿，siesie,0,孙燕姿的粉丝,36733053
3,2019,10,25,屑屑siesei,0,StefanieTXX,126966250
4,2019,10,25,只有演唱会才能听见的变奏版绿光,0,StefanieTXX,126966250
5,2019,10,19,原版咋唱来着?完全忘了😂,0,可憐你帥不过坂本汰佬,264489965
6,2019,10,18,siesie[大哭],0,悟细雨,415084604
7,2019,10,15,现在还用网易云，就是因为云给保留了绿光的变奏版，谢谢,0,谁把高大胖这个名字用了,112993473
8,2019,10,13,蟹蟹,0,是MQ996,72519416
9,2019,9,28,哈哈哈哈哈哈哈,0,稚野-Iris,89410562
10,2019,9,19,这要我怎么唱,1,bulankaa,73550678
11,2019,9,2,好多年前只有土豆有个超低画质的绿光小调版，然后默默转成mp3用了好多年，今天又心血来潮试着搜一下居然还有。小调版比原版好听,0,野生三级头,281581062
12,2019,8,27,变奏版好好听！！！大爱这个版本！！！,0,cy909191,254876722
13,2019,8,25,哈哈哈哈哈哈哈蟹蟹,0,Kepler__r,413257278
14,2019,8,17,siesie太可爱了,0,SANJIU9,281870167
15,2019,8,9,粉丝: 对不起我不会唱,5,漂浮群岛et_moi,101098936
16,2019,8,6,喜欢燕姿,1,零缺点-,545352622
17,2019,8,5,爱是一道光，绿的你发慌,1,那盒饭,76339068
18,2019,8,2,逐渐忘记原曲,0,李小手1705,479407259
19,2019,8,1,这个蟹蟹也太可爱了,1,我很鱼块,125768521
20,2019,7,30,燕姿说话也好可爱～～,0,top_Aprilworld,1303520511
21,2019,7,30,超喜欢呀～～,0,top_Aprilworld,1303520511
22,2019,7,26,哎嘿[吐舌],1,星光还依旧,110171268
23,2019,7,22,那句“蟹蟹”萌哭我了,3,Sparrrrk,270935914
24,2019,7,20,变奏好听⁽(◍˃̵͈̑ᴗ˂̵͈̑)⁽,1,docoes,283540064
25,2019,7,19,哇！！超级好听 是我听过最好听的绿光版本！,2,Erika_Linder,305117600
26,2019,6,28,这句siesie真的甜到我心里了,1,孙家我燕姿,359397405
27,2019,6,26,siesie是最灵性的,3,家养型浣熊,69839733
28,2019,5,31,2020马上到了，我等一个有你的演唱会,6,崔塔塔monster,1754560238
29,2019,5,29,那个谢谢太可爱了,3,乐康哦,442746226
30,2019,5,28,有本事大家一起和我合唱[奸笑],5,刘哈哈233,51107840
31,2019,5,15,melody哈哈哈哈哈哈哈哈瞬间出戏刘恭显,2,Di-Dar-Lar-Dar,51200411
32,2019,4,30,音悦台MV找过来的……,0,爱兔子的萝卜儿,47709415
33,2019,4,27,超级超级好听！,1,孙燕姿best,46251605
34,2019,4,18,这一版真的像来到了绿光森林！,1,125号致幻剂,314212031
35,2019,4,15,秀呢,0,结菜,57780277
36,2019,4,13,居然觉得有点好听,0,跳舞的yanzi,287088787
37,2019,4,10,太好听了吧 被洗脑了,0,带刺大师,1462066790
38,2019,3,22,超爱变奏版,0,雨陨,31875806
39,2019,3,18,今年在上海听了孙燕姿现场唱的《绿光》，很满足！,0,特立独行的_蜗牛,589817686
40,2019,2,12,原话的意思应该是“接下来老娘自己唱”哈哈哈哈,2,背了个影,26852587
41,2019,1,15,好想看MV台下粉丝准备合唱结果听到前奏一脸懵逼(或惊喜)的表情,8,jiugf,415110672
42,2019,1,10,好久没听变奏版了，果然还是觉得比原版更好听呐！,1,凯旋门旁的加贝超市,360106164
43,2019,1,5,这个版本真的太爱了,1,我美好的未来还没来,295124860
44,2019,1,5,原版是咋唱的？？？[大哭][大哭][大哭],1,恋恋风尘602,85414186
45,2019,1,2,歌迷：一起个鬼……(；一_一),6,小疯饭,121029568
46,2018,12,25,这一版好好听啊,3,燕姿小迷妹_yanzi,1342726442
47,2018,12,10,曾经说好一起唱，你却偷偷变了样,22,红红狗狗梦一萝,78045152
48,2018,12,7,“希望大家可以一起合唱~”粉丝：？？？？？,29,冬麦dontmind,40723158
49,2018,12,2,超爱这个版本,0,棠芯儿,373621838
50,2018,12,1,不一样的感觉哦，我以前不怎么听演唱会版本的歌[大笑]貌似是一种损失,1,吴丌,391634577
51,2018,11,26,是的，我一直都是这么唱绿光的😳,5,咕叽-__,543531996
52,2018,11,21,蟹蟹~,1,名字想了四年,33115048
53,2018,10,28,欢迎收听 “你的故事我的歌”🎵,3,流年共度V,45409170
54,2018,10,25,真好,0,Xiangyu-Zhou,319673773
55,2018,10,24,这个版本好听啊！刚听到就觉得好听！同一个人不一样的演绎。或许是因为有了更深的认识吧,4,写个泥称,263669901
56,2018,10,22,是原调降小三度的版本哎！[星星],7,背景图我需要,109237319
57,2018,10,7,变奏挺好的,0,跳舞的yanzi,287088787
58,2018,10,7,蟹蟹[大哭]阿姿笑死我了,1,跳舞的yanzi,287088787
59,2018,10,4,哈哈,0,Easonchan1027,115056384
60,2018,9,29,超喜欢,1,啊无z,397313927
61,2018,9,22,[呆],0,新垣結衣的衣,113558510
62,2018,9,11,"这一版这么特别，居然这么少评论。。。那个中间的变调真的不特别棒",0,夏小莫,869908
63,2018,8,15,爱是一道光。绿到你发慌！,3,蕗人曱o,616352241
64,2018,8,13,我TM想哭(┯_┯)   太好听了 啊~~~[生气],0,如果你也看懂千与千寻,385854571
65,2018,8,10,"不同于任何意义，你就是绿光。
如此的唯一。",1,云_安安,1395846467
66,2018,8,6,好听的,1,我见过刘惜君卸妆的样子,334865174
67,2018,8,6,live版的🐒🐒听啊,1,ykepler,301744533
68,2018,7,27,这是和声版吧,0,我哼着歌你自然的就接下一段,100882927
69,2018,7,15,中毒了，要不是步行街带偏了，这首歌也蛮好听的～,0,天才小泽泽,38410750
70,2018,7,6,牛逼啊，这个节奏好棒,0,橘子7777777777,303507867
71,2018,6,30,翻译歌词的那位好可爱,1,炫百吉,1487557729
72,2018,6,6,@余丸yoo 步行街之歌改了的暗黑feel~~,2,陈梓映,39810950
73,2018,5,23,这个很棒,0,我有努力和这个世界变熟,394296679
74,2018,5,20,好听,0,Lewis07,91561151
75,2018,5,14,siesie好好笑哦,1,须臾爱音乐,60208630
76,2018,5,9,听到谢谢整个人就酥掉了,1,-Ariana_Grande-,585410257
77,2018,5,5,已经单曲循环这个版本两天了。 ,2,ssssaaaxzczxcc,264882211
78,2018,5,4,[色],0,毛毛虫0912,323067104
79,2018,4,26,那声谢谢也太可爱了吧,1,彭南语,284468716
80,2018,4,6,[强][强][强],2,成小姿S,84991554
81,2018,3,20,★,0,别是太空人,82949922
82,2018,3,8,Siesie,1,帐号已注销,32678543
83,2018,3,6,这就是我爱的燕姿,4,Mu_lan,455615527
84,2018,3,4,闷闷不乐版,4,Mr_Yoshitaka,135524749
85,2018,2,21,如果是我唱的 你们一定会说走掉了,1,恶魔冒险家,298914852
86,2018,2,4,不同于任何意义 你就是燕姿 如此的唯一,2,姿迷Kepler,62776498
87,2018,2,3,台下粉丝：“这叫我们怎么合唱......”,96,灰色挽歌_1984,357894990
88,2018,1,30,演唱会很感动,1,王金1711,632842409
89,2018,1,30,不想听原版了,2,发热的C,116096676
90,2018,1,26,我还以为跑调了,0,可是我不想做好人啊,42132015
91,2018,1,20,酷歌越来越酷了,0,小南saki牛丸果mami叶子K神,282529028
92,2018,1,8,还以为跑调了。。。,0,ywxame,90820214
93,2017,12,4,就像杰伦改编陶喆的找自己一样，大调变小调,6,且听风吟-_0,129162764
94,2017,11,25,好！听！,0,AyalkomodAyalkomod,121725447
95,2017,11,25,孙燕姿和莫文蔚的live真是一绝！！！,6,回忆的只是过去,365722905
96,2017,11,19,太好听了啊 我要死了,2,NTUfail,71924954
97,2017,11,19,听力💯,1,林守乐,55243746
98,2017,11,18,这……咋合唱？,7,你爹在吃盐酥鸡,103553147
99,2017,11,11,蟹蟹,0,請叫宋長老,373701684
100,2017,10,29,送给绿十七郎,2,中村青司丶,289572836
101,2017,10,29,我也是听了林忆莲那个想起这个版本来，不能说吊打，但明显要好听太多,0,我美好的未来还没来,295124860
102,2017,10,28,这次的改编吊打昨天林忆莲改编好吗！,5,NBA名宿艾弗森,264049003
103,2017,9,20,siesie～,5,鄒爸比,85768778
104,2017,9,7,变奏版绝对是稀有动物，这也是有机会去喜欢的歌手的演唱会就尽量去的原因,7,DWADE3YKG,64933840
105,2017,9,2,评论的人怎么这么少？？？？,0,老兵不死-只是凋零,123310540
106,2017,8,23,咳，sie sie[可爱]好可愛喔。,3,鄒爸比,85768778
107,2017,8,13,[可爱]希望姿媽望在演唱會上能夠任性地把歌改編唱給我們聽，這樣就像變魔術，一首歌變成两首，整場下來，姿迷收穫滿滿呀。恩，沒錯，我就是在做白日夢。,2,鄒爸比,85768778
108,2017,7,26,啊这版简直太好听,0,ttttorres-,275233363
109,2017,7,9,这版本真是循环好多遍,0,傅昂昂,62886000
110,2017,7,8,一次偷偷用班里的电脑点了这个版本，全班都惊呆了[憨笑],0,我独南行Z,133815629
111,2017,7,8,没人的..,0,--紙鳶--,351271732
112,2017,7,7,来给楼下来一份原谅套餐,1,不如不骗,6037894
113,2017,6,29,什么歌？[呲牙]哈哈哈，燕姿好可爱,3,跳舞的克卜勒,122786310
114,2017,6,20,🚶,0,hyaline8827,89913538
115,2017,6,12,我姿说蟹蟹的时候好可爱哈哈哈,0,pengawai,106737857
116,2017,6,2,这版本可以单曲循环很久很久很久很久....了,0,QW1K,96765923
117,2017,5,23,胡说明明是我才是,0,十九汪,77907397
118,2017,5,23,我是轩佬的男朋友。,0,为诺贝尔奖出发先算漂亮,59836222
119,2017,5,21,ID轩迷吗嘻嘻,0,十九汪,77907397
