index,year,month,day,content,likecount,nickname,user_id
1,2019,11,27,就是喜欢没有人听又很好听的歌 ,0,LikeFreeNight,108773866
2,2019,11,19,2020 我坐在台下听你讲话 听你唱歌 想想都很开心嘻嘻～,0,心愿无限大_,1296779651
3,2019,9,5,好害羞好甜的十三姐吼～,1,墜落橘子,86574431
4,2019,9,4,最喜欢燕姿了～,0,Erika_Linder,305117600
5,2019,8,19,就这么自然,0,潜水大鲸鱼,476471883
6,2019,8,6,贝斯真的很抢戏哈哈哈,0,我很鱼块,125768521
7,2019,7,25,从演唱会视频赶来,0,Davie504,57455489
8,2019,6,16,贝斯抢戏！！！,2,NTUfail,71924954
9,2019,6,5,那时还是个小女孩，现在都妈妈了[哀伤],1,10点30的飞机声,121572950
10,2019,4,7,谢谢！,0,GuizZzQ,303795177
11,2019,4,6,就搜“孙燕姿2000年台北万人演唱会”，B站上也有。,0,转身是空,111727561
12,2019,4,6,那么问题来了 那里可以看呢[流泪],0,GuizZzQ,303795177
13,2018,11,15,又下雨了,0,uhohuhoh,322374638
14,2018,9,26,居然那么少人评论，奇怪了 站个台哈,1,彦然微辰,264872787
15,2018,9,25,这首歌的铺垫真是不太自然[呲牙],4,读不懂看不清想不明,69632189
16,2018,9,6,燕姿,1,云_安安,1395846467
17,2018,8,2,就这么自然,2,_诗芊,81037679
18,2018,6,25,嗯 夏天到啦,1,aijuynus,114937683
19,2018,5,15,夏天和燕姿更配噢[呲牙],2,小大小大x,318398757
20,2018,4,6,为什么那么可爱啊,2,我正经799,129203055
21,2018,4,4,就是太自然了[大哭][大哭][大哭],3,33轉的LP,630862795
22,2018,4,4,好好听,1,想去吹太平洋的风,431966292
23,2018,4,3,非常非常喜欢这改编,1,气氛来了就要醉,308485041
24,2018,3,29,就这么自然 可以更自然✌️,2,漫无漫无,428113917
25,2018,2,28,不要下孜然,0,月光长门,384476687
26,2018,2,8,被“右边的朋友”吓一跳[大哭],0,A-KUONG,577837024
27,2018,1,23,手机里面四百多首歌全没了[哀伤]很伤心,0,庄与蝴蝶,250350810
28,2018,1,17,爱到自然才是最美,1,牧童遥指问号郎,81330840
29,2017,12,25,那时候好嫩啊，讲话,3,跳舞的克卜勒,122786310
30,2017,9,6,"所以听专辑还是得听live版本的..有意向不到的惊喜
",1,u_vl,259888059
31,2017,7,20,傻燕姿[小鸡],2,今天日记空白,351485114
32,2017,6,20,姿姿，不是感动是激动，你要发新专了，我也超超激动,5,素丸子Kwok,17385100
33,2017,6,20,好喜欢听这个Live    哈哈哈,2,素丸子Kwok,17385100
34,2017,5,24,[大笑][大笑][大笑][大笑]自然,1,徐先生-1314520,372079899
35,2017,5,5,不知道你扭曲的想法是怎么来的。。YZ也有黑点吗 天呐服气。,1,kk1rito,250131831
36,2017,5,3,哈哈哈 最后好可爱,0,阿Dar,94482447
37,2017,5,3,贝斯加分[爱心],0,阿Dar,94482447
38,2017,4,25,这真的是燕姿妹妹吗？,0,hewittchoi,8881718
39,2017,4,21,超喜欢听坡姐说话！[色],1,Bodrums,136248780
40,2017,4,10,我已肥过，努力地肥过，那么的自然[可爱],3,k9Otw,136256
41,2017,4,7,莫名的喜欢燕姿,0,超人必有我师焉,344026692
42,2017,4,6,爱姿打卡机,0,苏三伞,111844957
43,2017,4,6,爱姿打卡,0,苏三伞,111844957
44,2017,2,21,唱得真稳啊,0,夏天盖棉被的男神,51015045
45,2016,12,31,听歌只为听她喘,3,搞笑不是笑,344634116
46,2016,12,31,听完17年我姿的跨年打卡,6,River_Lam,282698111
47,2016,12,24,打卡,0,古由之月,62913048
48,2016,10,9,下面的hymnall，哈哈,0,Nnnnnnononn,115189651
49,2016,10,9,who,1,孙燕美,542076
50,2016,10,9,@孙燕美 有人找,0,Nnnnnnononn,115189651
51,2016,9,20,[惊恐][惊恐][惊恐]姿妈，,0,鄒爸比,85768778
52,2016,9,17,[发怒][发怒][晕][发怒][发怒],0,SwingingEar,52562576
53,2016,9,12,一听前奏就很high，超带感啊,2,北城以北的念,100256294
54,2016,8,10,怎么没看见孙燕美[大笑],1,东边儿,129206357
55,2016,7,25,我来给燕姿加评论,0,今天星期六的鹅,64454012
56,2016,5,6,最后的娇喘满分[亲亲],9,来自肯塔基的陆钢蛋儿,77901503
57,2016,4,24,换了新耳机，果然燃爆,0,1864s,31242169
58,2016,4,24,好可爱*^o^*,1,雨陨,31875806
59,2016,4,5,没有method，揍是这么of zhuangbility,0,张得意,29983163
60,2016,4,5,确定不是judgment 吗？？还有你的comment 真的满interesting啊（微笑脸,1,ZMMMMMMMX,109821787
61,2016,3,22,就是喜欢听你姿讲话~~~~~~~~~~,2,账号还是注销吧,17481219
62,2016,2,5,姿迷报道[亲亲],1,了不起的老人家,37782426
63,2016,1,14,[憨笑],0,力的宏,34361818
64,2016,1,4,最后一句dudgement让前面写下的一些statement全都变得毫无意义了，使得贵评论以及鄙评论都变成了waste of time,1,张得意,29983163
65,2015,12,31,为什么中间停下来了,0,下沉式绿地,98637395
66,2015,12,1,试问那个女孩不想再看一场我燕姿的演唱会呢。,0,向一北,1478915
67,2015,11,5,最后那个长呼气，感觉燕姿好累啊😔！最爱真实自然的燕姿！[惊恐],4,dream梦醒时分,49169286
68,2015,10,31,我姿聲音萌死了 抱緊！,1,directorrowe,1923073
69,2015,10,4,一听到孙燕姿讲话就点了红心,60,诗已,69924507
70,2015,10,3,我姿好俏皮！！！[亲亲][亲亲][亲亲],2,菲儿灰灰,62222598
71,2015,10,3,新耳机重低音太棒了,0,心晴0110,49518516
72,2015,9,26,孙燕姿汲取小红莓的养分，比王菲吸收小红莓更有趣一点。（当然 小红莓实在是我没什么兴趣提的乐队，受过影响的华语女艺人：王菲 孙燕姿 杨乃文 甄凌 这几个人最好的东西都比小红莓最好的东西多多了 有趣多了,8,tlmgt,1219489
73,2015,7,25,可以更自然~,0,Eva_14,31106261
74,2015,7,24,2000,0,丼眠,3418384
75,2015,3,9,YI努力飞过~,1,一定要像太阳花般灿烂的生活,41393762
76,2014,12,30,自然,0,Aragaki君,883074
77,2014,5,27,就这么自然！[跳舞],8,橙orange,15215826
