index,year,month,day,content,likecount,nickname,user_id
1,2019,11,28,蹦迪神曲,0,Sitifani,367734784
2,2019,11,27,最后的咯咯笑声好听,0,LiveNewLifeoneonlyorange,1323436075
3,2019,11,23,经典！,0,chenyuru0924,266077689
4,2019,11,16,完全不过时,0,红尘小小生,73020014
5,2019,11,14,这次听前面bass的riff很棒啊[多多大笑],0,alecsun,83500310
6,2019,11,14,挺正,0,小小的晏,1523256883
7,2019,11,7,这张专辑真的是太经典了,0,围脖上的沉睡的秋千,397735889
8,2019,11,7,那是网吧必听,0,梵高先生181211,1696080231
9,2019,11,1,就这么自然,0,跳舞的反骨,33249451
10,2019,10,31,喜欢,0,809飞行器,382389158
11,2019,10,28,我已飞过在风里在大雨里,0,不遑多让o_O,1944277967
12,2019,10,22,前奏以为冒险岛,0,你是不是饿得慌,68707297
13,2019,10,17,对头,0,跳舞的克卜勒,122786310
14,2019,10,14,早期的歌有种叛逆的感觉。到后面就看开了，没有那种叛逆劲了,0,8楼永远爱3楼,80342819
15,2019,10,13,燕姿真心太实力,0,错生不错过,422192437
16,2019,10,12,跟着我哥听了这么多年燕姿的歌，百听不厌的一张专辑,0,小西和双双,1927807786
17,2019,10,6,这么好听的歌，你们都别听，属于我自己一个人,0,吃橙子果的火龙,73862847
18,2019,10,5,山寨孙燕美,0,爱生活爱燕姿,560609259
19,2019,10,5,一想到明年有好多人要跟我抢票 就希望大家能手下留情 一张就好 毕竟欠了这么多年的门票[大哭],1,Harburr,382651369
20,2019,10,5,是不是死心塌地就是完美的情人,0,识刀客,623315109
21,2019,10,4,害！真好听,0,也不是猪只打呼,355734135
22,2019,9,27,我又回来了，再听一遍，顺便给自己个赞，打破零赞惨案，没事找点事，活个精神劲,0,将军领,387504811
23,2019,9,23,经典，哈哈，评论好少,1,XQ0823,489797899
24,2019,9,19,想你和你姐哦[可爱],0,Asickmonster,408789418
25,2019,9,6,哦吼哦吼，我喜欢孙燕姿2020年北京场见,2,将军领,387504811
26,2019,9,2,在厕所，用脚和拖鞋给自己打鼓,2,孙鳌头呀,502416807
27,2019,9,1,奥力给！,0,也不是猪只打呼,355734135
28,2019,8,28,经典,0,璀璨人生2019,123860
29,2019,8,28,那不是励志歌，跟这些感情相关的一律算情歌及情歌衍生。励志歌参考年轻无极限，没有人的方向，逃亡，,0,跳舞的克卜勒,122786310
30,2019,8,28,怎么会，后期即使是在爱中受伤也是那种已经看开的豁达啊,0,谢小P谢小P,36145223
31,2019,8,23,要出发,0,i-YBO,15195708
32,2019,8,23,今日处暑 不愠不燥,0,i-YBO,15195708
33,2019,8,22,鸟从天空飞过，不留一丝痕迹，而我确实曾经飞过,0,尹天仇vi,1287554968
34,2019,8,22,四面八方～～把一切释放～～～,0,漂浮群岛et_moi,101098936
35,2019,8,21,人这么少的,0,剪璃_,287772379
36,2019,8,14,喜欢,0,识刀客,623315109
37,2019,8,14,多有个性的一首歌,1,识刀客,623315109
38,2019,8,6,天空没有飞过的痕迹，但我已经努力飞过。,1,Kepler小姿,342372326
39,2019,8,6,就这么自然～,0,Kepler小姿,342372326
40,2019,8,6,晚安,0,Kepler小姿,342372326
41,2019,8,5,超级喜欢这首,0,Kepler小姿,342372326
42,2019,7,31,就这么自然,0,Kepler小姿,342372326
43,2019,7,31,求求了 大家明年不要和我抢票[多多捂脸],3,把酒言话,116902125
44,2019,7,27,上次考试满脑子这首歌，是不是把书看完就会得到一百分,2,识刀客,623315109
45,2019,7,26,曲子好厉害!,1,桃花怪呼叫菊花侠,129895292
46,2019,7,24,孙燕姿孙燕姿的,0,郭郭郭1116,419367542
47,2019,7,24,在一楼[大哭],1,害羞哈哈哈,1858498250
48,2019,7,23,舒适的姿态，不强求的心态，毫不犹豫的状态，就这么自然！,1,GenerationX,1407337
49,2019,7,23,这首歌非常好听,0,再见了喵先生,63174833
50,2019,7,14,这首歌竟然这么少评，这首歌陪过了我初中迷茫的时候，让我学会放下一切，专心做自己！这首歌必须火！,1,容易被歌词打动的人,1353065601
51,2019,7,13,屌,1,反正无用,103294976
52,2019,7,12,打卡,0,无间怪胎,329782324
53,2019,7,10,就那么自然,0,姿家人,263952201
54,2019,7,10,好听。,0,姿家人,263952201
55,2019,7,8,帮我问问你姐啥时候开演唱会？[亲亲],1,霉头霉脑云散月现自在飞花slay,42294326
56,2019,7,6,明年应该可以看到我姿开演唱会了，期待,3,忧姿,338688999
57,2019,7,6,喜欢💕,1,忧姿,338688999
58,2019,7,5,错 她只是喜欢听摇滚 可是从是时候基本全是慢歌,0,Vangohloveyanzi,531970243
59,2019,7,5,很幸运，在听歌的年纪就遇见了yanzi，19年了~  19年前的专辑还是这么好听，如初见,3,孙燕姿什么时候开演唱会,131857521
60,2019,7,5,"天空没有飞过痕迹，可我已经努力飞过。好有营养的鸡汤啊，哈哈哈",1,風如斯,100281989
61,2019,7,3,我记得燕姿说过她最爱的音乐类型是摇滚[大哭],2,与鹅结婚的猫头鹰,102577326
62,2019,6,29,"集中力量，不要害怕
就这么自然",1,大大大大大發猫,75588546
63,2019,6,29,最近心情一直很不好，不知道自己要什么，偶然听到了这首歌，好开心呀~感觉又有要努力的感觉了，开心,2,大大大大大發猫,75588546
64,2019,6,26,打卡,1,梦想太远午餐吃饭不吃面,256522772
65,2019,6,26,有人告诉一下这种歌属于什么风格？摇滚？好喜欢,1,梅西疏影,247369807
66,2019,6,26,越来越喜欢听燕姿唱快歌了,1,不会跳舞的梵谷,453492497
67,2019,6,24,嗯，我现在主要还是听的早期专辑，可能是因为早期专辑能回忆起美好的青春吧[生病],0,prince-Joshua,117961245
68,2019,6,24,后期整体风格都变了，不再是年轻无极限，我要的幸福这种歌,0,跳舞的克卜勒,122786310
69,2019,6,24,后期也有呀，克仆勒的无限大，跳舞的梵谷的天越亮，夜越黑，是时候的追...,2,prince-Joshua,117961245
70,2019,6,23,爱燕姿,1,tree-river,2464568
71,2019,6,16,贝斯带感。,1,井岑,1801448007
72,2019,6,16,俺来了,1,井岑,1801448007
73,2019,6,12,梵谷这张就不是慢板清新啊，每个时期有每个时期的音乐品味，这个和生活感悟有关。,2,ImOkay823,50669672
74,2019,5,26,就这么自然,2,小渣别跑,283212044
75,2019,5,15,"看见天空，突然想起燕姿这首歌。有句天空没有飞过的痕迹
但我已经努力飞过
习惯失恋听伤感情歌的我们可能对这首歌不是很感冒，但是她歌词真的很积极向上，给你力量！",1,Andyhui-Lau,136649584
76,2019,5,12,这首还是我看现场喜欢的,1,ImOkay823,50669672
77,2019,5,10,不对啊，居然没有999+,0,釜江西路没有人,348589709
78,2019,5,10,无燕姿，不青春,0,不骑扫把的女巫,2411685
79,2019,5,8,真的欸，怎么会这样,0,太阳系在下雨,255196925
80,2019,5,4,真的服了，网易云搜自然搜不到这首，显示的全是不相关的[怒],3,superGYP,64847156
81,2019,4,30,助攻999,0,深深呼吸fate,1547633662
82,2019,4,29,一专就这么摇滚,0,气氛来了就要醉,308485041
83,2019,4,24,[可爱]没错 就是这个感觉,0,马lululu,55810097
84,2019,4,24,想死你了[鬼脸][鬼脸],0,马lululu,55810097
85,2019,4,12,一种青春时期的画面 扑面而来,0,小祎小祎啊,487533432
86,2019,4,4,打卡,0,繁星RDQ,47617725
87,2019,3,26,来听听冷门好歌,2,叠加态,133026520
88,2019,3,24,又来了3.24,0,猫阿0000,1547844887
89,2019,3,23,助攻999,0,judelc,99703579
90,2019,3,19,有点不自然，,0,s1ck1000,1471605268
91,2019,3,16,助攻999,0,Su酥-网易云,68982529
92,2019,3,14,"作曲：李偲菘
作词：廖莹如
编曲：Martin Tang

已经添加修改，请小伙伴们重新刷新歌词",2,作词_作曲_编曲_MV导演天下第一,546057330
93,2019,3,12,好听啊,0,小宝Alex,7550628
94,2019,3,4,不知不觉已经快要二十年，我也老了[亲亲],0,弗70709,405163085
95,2019,3,3,这个音色华语乐坛数一数二了，还有一个叫王菲的。,5,RichardColumbiaUniversity,246229682
96,2019,2,28,怎么会这么好听啊啊啊啊啊啊啊啊,0,是乔不是焦,405227416
97,2019,2,23,确实不同 因为歌手刚出道的时候完全要唱片公司选歌打歌 孙燕姿早期的歌曲要和她的率性勇敢的少女偶像的形象契合 所以要尝试各种摇滚快板的歌曲 各种风格的曲风都要尝试 当孙燕姿红了有了地位之后 选歌打歌的主导权就落到了她自己的手里 她个人偏向于慢板清新的作品,1,Vangohloveyanzi,531970243
98,2019,2,22,好听，不要别发现啦,1,嘿IsMe,447375753
99,2019,2,14,孙燕姿最打动我的，就是她自然的笑声,0,阿拉蕾米花,126159809
100,2019,2,11,后期风格明显不同于前期啊，,0,s1ck1000,1471605268
101,2019,2,10,这首歌评论居然这么少……超级喜欢这首歌啊！,0,转身是空,111727561
102,2019,2,7,我是521还要多1分评论，可惜我不爱某人，没有故事，就来听个歌。,0,愁容的骑士,381814572
103,2019,1,30,我是第521条评论，孙燕姿！我爱你！,1,哪吒不哭,252648391
104,2019,1,29,狠,0,星星上数太阳,405823864
105,2019,1,27,2019.1.27特此回头再听一次青春，感谢孙燕姿，感谢自己,2,Nembutal,285968582
106,2019,1,27,就这么自然[吐舌],0,没有一步之遥,53340270
107,2019,1,26,这首歌小学六年级磁带听到的，找了这么多年大学毕业两年了，一直以为是萧亚轩的歌，,1,爱缺不缺,118513291
108,2019,1,25,放多点孜然,0,慢慢来-我什么都不知道,57833675
109,2019,1,23,好听！,0,ameino,630083040
110,2019,1,21,多美的音色,0,胡郎远,102221229
111,2019,1,20,我不专心走路[流感]我书还没看完[流感],0,A-KUONG,577837024
112,2019,1,20,我就是这么的自然[流感][流感][流感],1,小鸟不想飞,67037865
113,2019,1,18,天空没有我飞过的痕迹,0,CC十七,103394661
114,2019,1,16,真的活的自然,0,小卷迷,1449150156
115,2019,1,16,后期没有励志歌了,2,跳舞的克卜勒,122786310
116,2019,1,15,后期的歌也一样,0,橘咲_,52079797
117,2019,1,12,就这么自然,0,苍木嘛丽呀,68139189
118,2019,1,5,爱姿病无可救药～～～,0,luckycheung,98682093
119,2019,1,3,当年她也还是个风风火火酷酷的女孩子呀～,2,吴迪迪迪迪di,329247569
120,2018,12,31,用杰伦的话说，燕姿早期的歌曲有点屌哦。。。,5,GOTPOI,566878519
121,2018,12,29,这首歌很酷啊,0,Stefanie_Chou,108346735
122,2018,12,22,最喜欢这首拽拽的歌,3,MR俊杰007,9018418
123,2018,12,22,自然,0,另-张脸,56020714
124,2018,12,21,"又是一年年末，又是熟悉的加班节奏，好在有我的“姿窝”歌单可以循环。
嗯，这条评论就是为了占领本歌的第500条。",3,Joesane,490522606
125,2018,12,20,走来走去最快乐是知道要什么～,2,布娜娜娜娜,76627962
126,2018,12,18,这么好听居然这么少评论呀[呆]你们是不是都默默点个♥️就走啦,1,StefX,300674075
127,2018,12,3,小学的时候听的燕姿的第一批歌里面的。从此爱上了这个自然，洒脱，励志的短发女生,0,prince-Joshua,117961245
128,2018,12,2,就是这么自然[亲],0,O_oHULLO,343829645
129,2018,12,2,打卡[奸笑][奸笑][奸笑][奸笑],0,O_oHULLO,343829645
130,2018,12,1,真的是燕美？,0,sha0323,106084738
131,2018,12,1,签到，,0,s1ck1000,1471605268
132,2018,11,26,哈哈哈哈哈看到这我就忍不住了,0,最喜欢吃肉啦,371150408
133,2018,11,25,燕姿早期的专辑真的很赞[强],0,HappySun0727,252757745
134,2018,11,24,怒刷存在感。 ,0,孙燕姿的小迷妹啊,327977684
135,2018,11,18, 孙燕姿我又梦见你了,0,结菜,57780277
136,2018,11,8,这首歌和《跳舞的梵谷》里面的超人类怎么有点像啊 仔细一听,1,forbe,125980582
137,2018,11,6,这贝斯,4,洋葱草莓地,266799152
138,2018,10,24,我要燕姿,1,虫虫和马,452792472
139,2018,10,23,只想听歌,0,onearthome,1322819440
140,2018,10,14,喜欢,0,BLACKTEAAFTERLUNCH,44184094
141,2018,9,25,最后迷之呵呵。,0,10月的可子,1609549765
142,2018,9,22,演唱会live版那个大喘气好爱,0,星岛的妳,48746821
143,2018,9,18,小时候听歌词只能感知情绪，现在再听都是沉淀的真理,0,路路嘉,273733062
144,2018,9,17,感觉应该高中的时候听[憨笑],0,丧伤上,413485945
145,2018,9,7,就这么自然！,0,毛毛虫0912,323067104
146,2018,8,19,就是这么自然！！！,0,你有软趣味,413803844
147,2018,8,15,这是我少数看到歌名想不起来怎么唱的燕姿的歌[呆],0,旧昔扰梦,260855652
148,2018,8,14,洒脱酷酷的十三姐啊,2,跳舞的反骨,33249451
149,2018,8,13,这首歌好酷，是这张专辑里最喜欢的,1,成什么琳,403474150
150,2018,8,2,天空没有飞过的痕迹 但我已经努力飞过,6,_诗芊,81037679
151,2018,8,2,其实爱一个人又何必那么的委屈,1,_诗芊,81037679
152,2018,7,24,歌词真的很燕姿,4,骑士1989,75521112
153,2018,7,23,生日快乐[亲亲],2,没那么幸运z,477204429
154,2018,7,23,生日快乐,3,笑靥姿吟,100440737
155,2018,7,22,很有feel的一首歌,3,金龙180709,1514766829
156,2018,7,16,打卡～,1,与科,248140987
157,2018,7,16,集中力量，不要害怕，却还是有时候会害怕，所以需要充氧期,1,Staceyisyy,629476413
158,2018,7,15,"打卡，我的美姿
",0,倾乐声,120197077
159,2018,7,13,打卡,0,一翎壹一,109494194
160,2018,7,12,来找这首歌的都是真爱粉(｡･㉨･｡)ﾉ♡,3,永不島之風,13033115
161,2018,7,12,"I leave no trace of wings in the air,
but I am glad I have had my flight.
天空没有留下鸟的痕迹 但我已飞过

——泰戈尔《飞鸟集》",7,永不島之風,13033115
162,2018,6,26,好歌,0,你耳机里听的什么歌,274612185
163,2018,6,15,这些年来华语乐坛真的是在倒退啊,7,weirdo-zhang,416126286
164,2018,6,12,哎,0,毛毛虫0912,323067104
165,2018,6,10,磁带年代的第一张专辑，反复听了一整年…,0,林家如意,50699216
166,2018,6,9,喜欢这种干脆利落,2,小四的酱油,493214532
167,2018,6,5,推荐现场版,0,气氛来了就要醉,308485041
168,2018,5,24,女神,0,梵谷不跳舞,132774418
169,2018,5,19,自自然然,0,Erika_Linder,305117600
170,2018,5,18,好喜欢这首歌！就这么自然！,0,周雨柠yo,380833712
171,2018,5,15,自然,0,monopolyill,112275843
172,2018,5,15,为什么这么多人没顶这首歌。,1,jekki丫,571879988
173,2018,5,12,其实爱一个人何必那么的委屈～,0,JoannaQQQ,1433483227
174,2018,5,10,这个贝斯听着太舒服了,4,章贡区仁波切,36597858
175,2018,5,7,姿迷无处不在，燕姿无可取代～～～,7,四月的的的,1329526521
176,2018,5,5,[色],0,毛毛虫0912,323067104
177,2018,5,3,是的呢[大笑],0,天空上的旋木,72991027
178,2018,5,3,新专真的首首爱,1,李好帅呦,332709127
179,2018,5,3,就这么自然,0,成小姿S,84991554
180,2018,5,3,[幽灵][幽灵][幽灵],1,成小姿S,84991554
181,2018,4,28,已经在你上面了[惊恐],1,訾央伪装小漠漠,247480354
182,2018,4,28,给每首都点了[爱心],0,stacyf,283399426
183,2018,4,26,就这么自然！,0,网友小蟹,278221870
184,2018,4,23,我觉得燕姿就没有不好听的歌啊 真的是每首都好听惹（当然我是我最开始确实需要消化一下🌚）,1,天空上的旋木,72991027
185,2018,4,21,好听,0,润小泽Ronny,1326160889
186,2018,4,20,燕姿早期的歌，很多积极向上，给人以力量，同时又不无病呻吟，矫揉造作，就这么自然！就这么自然～,65,跳舞的克卜勒,122786310
187,2018,4,20,我要的幸福绝对耐听,0,跳舞的克卜勒,122786310
188,2018,4,13,cool,0,seektruths,547280150
189,2018,4,13,同村？你也是688的？,0,-Ariana_Grande-,585410257
190,2018,4,12,贝斯好销魂,0,Shoutjustin,20850328
191,2018,4,9,再过段时间也许就不这样想咯。我要的幸福和leave有很多神曲。,0,小四的酱油,493214532
192,2018,4,9,[鬼脸],0,子之选天,1391150898
193,2018,4,9,自然,0,毛毛虫0912,323067104
194,2018,4,9,好听,0,毛毛虫0912,323067104
195,2018,4,8,已添加~,0,曲库小护士,79248480
196,2018,4,6,这张专辑的确耐听，没有一首难听。后面一年出的第二张，三张专辑，都是跳着听，落差挺大的，而且越往后越感觉一丝浮躁。,0,东郊音乐台,113494895
197,2018,4,5,红的都是苦情的，但是很多铁粉是因为冷门超爱姿妈的[惊恐],0,小四的酱油,493214532
198,2018,4,5,恭喜你，可以听好久,1,小四的酱油,493214532
199,2018,4,5,冷门，但是我好喜欢。这歌放其他歌手，完全可以当主打了,0,小四的酱油,493214532
200,2018,4,1,[爱心],0,帐号已注销,73692831
201,2018,3,31,cool的燕姿,1,Y-una,322710590
202,2018,3,30,天空没有痕迹，但我已努力过,0,可与人言吴二三,53521219
203,2018,3,27,还是老歌有感觉嚯,0,漫无漫无,428113917
204,2018,3,26,酷,0,毛毛虫0912,323067104
205,2018,3,22,今天听还是超时髦,1,张立伟kelvin,134960220
