index,year,month,day,content,likecount,nickname,user_id
1,2019,9,25,谢谢小曲库，这个专辑我爱了！,0,我有一块小饼干,333348483
2,2019,7,12,曾经的我们都不会想到，当初那些温柔，那些承诺，都已变成了笑话，这条路走了多久啊，又是什么时候它再也没有我们手牵手的画面。我们，都是笑话啊。,2,哒哒哒夸夸夸,454120056
3,2019,7,7,这就是为啥网易缺少很多热门歌曲版权我却依然喜欢网易音乐的原因：推荐的歌无论新旧总能给当下的我新的感受。我会找熟悉的歌回忆过去，但更喜欢不经意间再次听到曾经常听的歌回到过去，或是听到我从未听过的歌而刻下未来对当下的回忆，这就是网易音乐带给我的—永远都在路上，永远感觉对未来充满期待。,2,扣肉YZZW,17521381
4,2019,6,24,196我来了,1,我莽任我莽-,341243064
5,2019,5,16,这是单为这张专辑重录的吗？,0,你实在太实在了,124123185
6,2019,4,14,谁还记得  是谁先说，永远的爱我。,1,风景依旧-故人不再,369568002
7,2019,4,14,整天到处撩,0,风景依旧-故人不再,369568002
8,2019,4,12,从2 her转过来的,0,IsAspect,127046588
9,2019,3,25,190我来迟了,0,舒肤佳是最美好的,114590120
10,2019,3,19,因为这是为你量身定做的歌,0,吸着烟徘徊在街www,1437326836
11,2019,3,15,不应该啊,0,QIDGK-G,263351692
12,2019,3,15,怎么才这么点评论？,0,QIDGK-G,263351692
13,2019,3,11,记得又如何？不记得了又如何？过往种种，皆是虚妄,0,来人给调音师加鸡腿,253246528
14,2019,2,24,怎么会有永远，即使有，也是自己吧。,0,传肖人员,56528586
15,2019,2,21,伤心的时候听的歌 他伤心时候听的歌 不让他伤心 走了,0,贺兰皮皮,1459057634
16,2019,1,5,我每天一评论,1,阳宝宝321,263825340
17,2018,10,28,多好的歌,1,阳宝宝321,263825340
18,2018,10,7,过了多久我也还记得,1,阳宝宝321,263825340
19,2018,8,5,大部分评论在《真实》和《10年精选》两张专辑下面，这是和孙燕姿的合辑～不过我更喜欢《2 her》的封面～,1,_拚_,15580004
20,2018,8,5,才183个评论，不科学啊[惊恐],2,竟然不习惯_,294122969
21,2018,7,2,过了很久还是很好听,1,远山黛s,443461563
22,2018,6,14,评论这么少？,0,一只鱼o3o,303502129
23,2018,6,13,不该放弃你。,0,一只可爱的肉丸子啊,512177402
24,2018,5,16,《记得》是张惠妹在2001年10月29日，由华纳唱片公司发行的《真实》专辑中收录的歌曲。该曲由易家扬作词，林俊杰作曲，吴庆隆编曲，张惠妹演唱。后来JJ 的《她说》专辑翻唱的啦,3,歸丨鄉,247680396
25,2018,5,16,186个评论【微笑】,0,歸丨鄉,247680396
26,2018,5,13,怎么评论这么少,0,_Alice__Z,346886671
27,2018,3,22,最后未必是因生死而分开，不过是爱不下去了。,0,叶深深深深,326290889
28,2018,2,16,别这样  你还有论文  还要找工作[撇嘴]  你还是大龄少女呢 [流泪],0,香菜girl,483006325
