index,year,month,day,content,likecount,nickname,user_id
1,2019,11,25,冬日最愛！,0,我大概很无趣,357869033
2,2019,11,23,我又来了。,0,也不是猪只打呼,355734135
3,2019,11,23,哦谢谢 不特别 绝对热血,0,易瑾1974,1408802232
4,2019,11,23,两年了啊,0,吴修明Gary,447785241
5,2019,11,22,最爱的一首 明年演唱会一定要唱！,0,阿乌仔1705,481998195
6,2019,11,21,独秀,0,用户100543715,100543715
7,2019,11,17,超爱直来直往！,0,我的猪猪儿子,1366773948
8,2019,11,17,上头,0,也不是猪只打呼,355734135
9,2019,11,16,才发现没看歌词之前 没听对一句,0,小D的萝卜,289815967
10,2019,11,14,鸡笼警告,0,Stef-木魚,70036533
11,2019,11,9,两年了还是最喜欢超人类[色][色][色][色],3,aprilworld,476591793
12,2019,11,7,啦啦啦啦,0,愿君依旧笑,559237310
13,2019,11,3,爱了,0,良恍,134848237
14,2019,10,30,不管不管。全专最喜欢这首啦,1,未来影剧院,44331992
15,2019,10,24,最喜欢的应该是这首,2,Ivebouncedback,77811015
16,2019,10,16,燕姿在采访时谈到这首歌创作最初是听了rihanna的consideration，就想做一首风格相近的歌，就请了老师作曲，然后方文山填词，，，曲风唱腔跟riri那首歌都有相似的地方。。。作为双粉开心炸[亲亲][亲亲][亲亲],1,Qcerkay,253235928
17,2019,10,14,我想赢。,0,Doe_Yu,300341767
18,2019,10,11,把撞墙的角度 解释成行为艺术。,0,也不是猪只打呼,355734135
19,2019,10,10,好听好听好听,0,燕姿开演唱会了吗,624100542
20,2019,10,10,鸡笼来惹,0,销声匿迹无疾而终,445641861
21,2019,10,9,我去b站看了，最爱的俩歌手[亲亲][亲亲][亲亲],0,Qcerkay,253235928
22,2019,10,8,喔~靴靴~~    x6,0,换个昵称咋就这么难,1390620941
23,2019,10,6,太酷了,0,姑苏客st,79800447
24,2019,10,3,喔谢谢,0,将白天延长一小时,410903955
25,2019,10,3,给的爱 不收回 不胆怯 很对味。,0,也不是猪只打呼,355734135
26,2019,9,30,2019.9.30,0,-FOREST-_-,1398199164
27,2019,9,28,方文山的词！,1,汀上白沙兰芷溪,287862641
28,2019,9,27,😎俺又来了！俺可太喜欢了！,0,也不是猪只打呼,355734135
29,2019,9,26,这么好听的歌怎么可以没有人评论,1,小_年华,357219081
30,2019,9,21,不是自己写的 燕姿很少写歌,0,梦想当个蒙特利打工仔,335815757
31,2019,9,21,ohsiesie,1,SANJIU9,281870167
32,2019,9,17,专辑里每一首歌都很惊喜！！哭了！！！,2,yuan9101,368145551
33,2019,9,17,好好听 惹,0,髙等動物,34045853
34,2019,9,16,都是方文山写的词,0,栏歌_,31004990
35,2019,9,15,说实话，我感觉这是以后很励志的歌[开心],1,江左梅郎spark,254190614
36,2019,9,13,哦谢谢,0,是我无语,477800337
37,2019,9,13,中秋快乐,1,胡郎远,102221229
38,2019,9,13,张大姐，方文山的词有点迷啊,2,孤帆远江湖,28294002
39,2019,9,11,鸡那么多，就你会上网,3,FEB----,305133765
40,2019,9,9,好酷的歌,1,FYCGDYVJ,333732165
41,2019,9,8,爱了哈哈哈,0,Islandofcyril,48634536
42,2019,9,7,我姿唱腔太可爱了,1,易姿宣,263522389
43,2019,9,5,太热血了啊啊啊,1,云之v,555849181
44,2019,9,1,只是reference哈 也没有像一说,0,Islandofcyril,48634536
45,2019,9,1,循环723遍开始！,0,Erika_Linder,305117600
46,2019,8,31,鸡  抓住你惹,0,liooHu,133689341
47,2019,8,31,方文山哈哈,0,XQ0823,489797899
48,2019,8,31,真好听俺太爱了！[憨笑],0,也不是猪只打呼,355734135
49,2019,8,30,专辑早就买了，现在才仔细听,2,时光为你等待isyou,280830959
50,2019,8,28,太tm好聽了,0,不聋菲尔德,65418353
51,2019,8,26,突然看到雯珊…………😂😂😂,0,谢小P谢小P,36145223
52,2019,8,25,是的。燕姿在马世芳的电台采访中提到，自己听到Rihanna那首歌很喜欢，也想唱这种风格的，就请老师写一首这种类型的歌曲。,1,EileenLeee,33800837
53,2019,8,24,听了这首歌的live  感觉太好听了吧也,0,SngEeTze--,1600031708
54,2019,8,24,感觉歌词很有意思，看作词方文山[大笑],0,氷靑,280454835
55,2019,8,21,曲风和rihanna的consideration好像,1,ChunkyLemon,300600090
56,2019,8,19,我jio得方文山的词挺好的，虽然我看不懂，但现在的词不都是一样的吗,0,懲滫,547456808
57,2019,8,19,哈哈哈哈哈啊哈哈。哈哈哈哈。看明白了,0,姚lucas,396196568
58,2019,8,19,哈哈哈哈。我天天听歌看歌词。然后我刚没有看 突然醒悟了。😂😂😂,0,姚lucas,396196568
59,2019,8,19,恩恩[奸笑][奸笑]，一定不手下留情，毕竟就打娘胎里单身了这么多年[鬼脸][吐舌],0,北辰_南溟,1358718474
60,2019,8,19,live版 姿迷真给力！,0,咩吔1707,546297589
61,2019,8,16,不是15吗小姐姐,0,C陈二九,298268775
62,2019,8,16,明年请手下留情,0,C陈二九,298268775
63,2019,8,16,可怕 还是不要这样开玩笑了吧,0,C陈二九,298268775
64,2019,8,15,张大姐是谁。。。,1,Qcerkay,253235928
65,2019,8,15,被张大姐疯狂洗脑[惊恐][惊恐],0,镜井夏,1510531310
66,2019,8,15,上头。俺好爱。,0,也不是猪只打呼,355734135
67,2019,8,15,第一次的数字专辑给了燕姿，开心❤，然后还有好多好多第一次都要给她（哎呀，有点儿羞涩[憨笑][憨笑]）嗯……还有演唱会（我要看了就来[奸笑]）我是超人类,4,北辰_南溟,1358718474
68,2019,8,13,太喜欢了 循环这张专辑一整天啦(*˘︶˘*).｡.:*♡,4,抖腿小胖达,377064920
69,2019,8,13,太好听了,0,发麻麻的小迷粉l,425501683
70,2019,8,13,完了…看了热评一眼后被张大姐洗脑了orz,0,一只尚有野心的杂食动物,380780644
71,2019,8,13,这首歌真是越听越上头,1,一只尚有野心的杂食动物,380780644
72,2019,8,12,李偲菘的曲很好，但是方文山的词不行。和曲气质并不那么相符。,1,系水,137086414
73,2019,8,12,我不特别不另类,0,SngEeTze--,1600031708
74,2019,8,11,方文山作词[奸笑],2,童年的纸飞机7,113659060
75,2019,8,11,站大街，张大姐[开心],3,Cindy_1203,63702302
76,2019,8,11,张大姐我来了,0,DetectiveSimon,327383975
77,2019,8,9,以后要能见到燕姿就送她超市最贵的面膜,3,摩爾克洛斯,401523443
78,2019,8,9,你们有毒,0,_不加糖有点甜,128108088
79,2019,8,9,张大姐哈哈哈啊哈,0,_不加糖有点甜,128108088
80,2018,2,21,之前燕姿台湾原住民电台采访,2,别再奋力逞强,122065677
81,2019,8,5,有点可爱，又有点个性有点酷的歌,2,封尘彳亍,356543149
82,2019,8,4,想要学燕姿咬字和语气的后辈可以来听啦,4,万古啊长存,629173321
83,2019,8,3,小孩子才做选择，我会全部都要,1,积了个德姿儿,645798706
