index,year,month,day,content,likecount,nickname,user_id
1,2019,11,6,当年因为这首歌知道的孙燕姿，想想那还是小学[呆],0,刨地大户,19463475
2,2019,10,31,心在醉 心在飞,0,八月长安x,263542124
3,2019,10,19,评论少可能因为专辑比较久远,0,有音留白,70673196
4,2019,10,19,我真的，因为二熊，爱上了孙燕姿,0,徒然草__,453217912
5,2019,10,7,第一次听就是燕姿这首歌 认她做偶像了🤩,0,恐龙妹1986,1312033165
6,2019,10,4,爱燕姿,0,跳舞的梵谷yanzi,318974517
7,2019,10,4,够够够,0,跳舞的梵谷yanzi,318974517
8,2019,10,2,感觉对了我要出发，因为燕姿来长沙～,0,女神是孙燕姿啊,395256634
9,2019,8,24,80后老阿姨满满的回忆啊[流泪],1,竹子信仰,562206596
10,2019,8,23,想起初中有个女同学，这是她唯一不走调的歌hhhh,0,周雅倩是个Pragmatist,135395763
11,2019,8,22,不科学~不科学~我燕姿最棒,0,小冀崽崽,455717392
12,2019,8,14,不科学啊  200都不到…,0,molimolichan,1761864019
13,2019,8,5,为什么姿姐每首歌都这么好听,0,方方圆圆嘟嘟,556138588
14,2019,8,4,这个专辑满满都是回忆,0,花莫笑丶,514517742
15,2019,8,4,磁带+1,0,花莫笑丶,514517742
16,2019,7,25,用磁带，歌的快慢用不同的机器都不一样,0,焦66666,254074207
17,2019,7,20,老粉丝想帮忙把评论数据搞上去[呆]都不会得[大哭],4,苗小王,18133540
18,2019,7,11,不 会累,0,Traveller416,58747776
19,2019,4,25,The moment 神辑,0,lifeisdivine,1715286576
20,2019,2,28,十多年前喜欢的歌曲,0,高高的高高1990,71007625
21,2019,2,16,和原来的比这首节奏变了,1,Nembutal,285968582
22,2019,1,12,高考为自己打气的歌曲，大学期末也是，爱燕姿爱生活,1,悦米小易,249975351
23,2019,1,8,那个年代还是用磁带 mp3听孙燕姿,1,Mar_777,124848437
24,2018,11,24, 0.0  妈耶  我不看评论之前 我什么都不知道。,3,孙燕姿的小迷妹啊,327977684
25,2018,9,23,爱了这首歌十五年,4,1903丶,34370504
26,2018,8,7,ლ(´ڡ`ლ),1,林34,400839327
27,2018,8,3,🎧,0,_诗芊,81037679
28,2018,6,22,这歌好污,0,心如刀绞12138,534314941
29,2018,6,13,太污评论[大哭],0,stef小流氓z,56720800
30,2018,6,3,听着超快乐[开心][开心],0,沐风丷,254911296
31,2018,5,10,哈哈哈哈哈,0,一吃就肥的龙,115101949
32,2018,4,8,好好一首歌，愣是被评论得那么污[大哭][大哭]啊！啊！,2,那个神仙,85291996
33,2018,3,31,就是这首歌，俏皮的短发和口哨，一下子爱上,0,杨否佑,324904669
34,2018,3,13,的步伐        也,0,33轉的LP,630862795
35,2018,2,10,初中这首歌和追梦赤子心成了我们跑操时的歌曲,1,纠结强迫症,114843596
36,2018,1,29,这首跟 孙燕姿 中收录的版本不一样。仔细听。,3,RRRRReady,315053588
37,2018,1,17,好好听啊   啊啊啊,0,慢慢步过人生路,324081860
38,2017,12,3,从我要的幸福迷上燕姿。当年还剪了专辑封面那样的发型,2,糖包子就是我,324745269
39,2017,11,20,青村阿青村~,0,Mia西西,113623366
40,2017,11,12,突然就哼起这首歌了，这是我的青春,1,Xeniacat,133034248
41,2017,11,10,姿妈我爱你,1,少年蓝_,250566868
42,2017,11,9,|･ω･｀),2,易冰ice,329820279
43,2017,11,4,居然只有115条,0,Sarrin-Mesery,530943606
44,2017,10,23,陈玺羽[爱心],0,Tiffany_坤音女孩,567648244
45,2017,10,23,小天使，池忆儿[强][强],0,Tiffany_坤音女孩,567648244
46,2017,10,23,严浩翔,0,Tiffany_坤音女孩,567648244
47,2017,10,19,这歌不该这么少人听,2,掐指一蒜,563505601
48,2017,10,17,我擦 居然没有999+,1,走走婷婷L,358128925
49,2017,9,16,小学时候听的， 最喜欢这句 说真心话 你善良吗 a a[奸笑],3,Cactus_杏仁核,85946952
50,2017,9,1,我爱你 汪豪,0,钩__弋A,82332020
51,2017,8,20,"记得小时候用MP3,全是燕姿的歌。现在听，仿佛又找到了小时候的感觉。",3,煤球胖,308694904
52,2017,7,24,"制作人包小松,包小柏,李偲菘,李伟松,那些年为燕姿量身打造了多少成名曲...包括后来的王心凌",1,愛在惜緣前328,90660152
53,2017,7,15,被最后口哨声撩到了,1,想去吹太平洋的风,431966292
54,2017,7,15,用我自己的步伐,0,想去吹太平洋的风,431966292
55,2017,7,5,感觉对了我要出发💓,0,不会吃腻的饼干,60881014
56,2017,6,25,开着车，摇下车窗,1,Asiaaaaaaaaa,93705405
57,2017,6,17,不能放弃随便撤退 每次爱的机会 !,3,麻里麻里哄s,375844353
58,2017,6,16,小学的时候听  好喜欢 直到现在也很喜欢 很喜欢💕,4,蔯皮,508493534
59,2017,6,14,评论好少啊，高中的时候用的是磁带啊，反复反复的听啊，满满的回忆,1,Oo兵临城下oO,721756
60,2017,6,1,😛,0,ByebyeNoise_,100923105
61,2017,5,25,what?,0,rocky111,58950333
62,2017,5,23,感觉对了，我要出发！,0,简单的华丽wjf,247215191
63,2017,5,16,这个明明是第一张专辑里的,1,诺坎普拉玛西亚,83009512
64,2017,5,14,喜欢燕姿10多年了,0,小鸡甩甩,104480239
65,2017,5,9,结婚六周年快乐！！！！燕姿，你要一直幸福下去！！！！,0,飘着_,246618908
66,2017,5,9,这歌评论这么少，什么情况？,0,燕姿粉,134675450
