index,year,month,day,content,likecount,nickname,user_id
1,2019,11,27,就是这张专辑爱上我姿的[亲亲][可爱],0,就当我没有名字吧112,326421915
2,2019,11,26,哼╯^╰,0,王文苑will,326759346
3,2019,11,24,助力999+！,0,羊咩咩爱猫喵喵,97118099
4,2019,11,23,记得第一次听是2011年上大一的时候，那时候用的手机还是诺基亚，MP3也依旧很流行，上课坐后排听这首歌，深深被旋律吸引，懵懂无知的年纪，爱上了燕姿。听了这么多年，每次一个人消化情绪的时候，每次独处理解人生的时候，每次无处诉说成长不易的时候，都是她在陪着。感恩有你，一路相伴。🌾,0,克卜勒_wu,97556018
5,2019,11,23,不过如此🍋,1,皓月星尘,499727006
6,2019,11,22,作曲还都是一个人,0,七宗罪苦笑,417524622
7,2019,11,17,这张专辑听的最多的是这首😂,0,彼得潘与狼,261245021
8,2019,11,17,爱就快要来,0,苑子潯的小号,1548957065
9,2019,11,14,看到评论回复 才想起来。分手了,0,__备胎过热会爆炸__,61374432
10,2019,11,10,真好听,0,云云云云流,1334766690
11,2019,11,8,去追。（听完只想说）,0,那条腊鱼,1468928864
12,2019,11,6,当年做毕业视频的时候，认为这首歌是最好的BGM，太合适了,0,lf12138,99494508
13,2019,11,4,999+,0,Padero,54914001
14,2019,11,4,很有画面感的一首歌，像是个坐在火车窗边戴着耳机的少女，正恬静地望着窗外，远处朝阳缓缓从地平线升起，车窗外风景不断变换，一切都是美好的景象，这时候，少女笑了。。。。。。,2,瑾色安年谁许我一世荒芜170603,334848907
15,2019,11,1,不想等待追现在就起飞我要去体会,0,qiuQAJ,505290620
16,2019,11,1,追,0,XQ0823,489797899
17,2019,11,1,999+,0,YILISHABAI_,49297976
18,2019,11,1,这张专辑入的坑,0,跳舞的反骨,33249451
19,2019,10,29,追赶着 狂奔的地平线,1,7things_,1318437548
20,2019,10,25,哼╯^╰!,0,我看谁的昵称有我骚,1527826158
21,2019,10,25,这首歌竟然没有999+？！大爱孙燕姿,0,ActLikeuKnow_,313978884
22,2019,10,24,爱了的感觉！,0,别再奋力逞强,122065677
23,2019,10,24,助力999＋[可爱],1,广岛上空的LittleBoy,1334938397
24,2019,10,21,追！,0,ssXinss你曾是少年,113324627
25,2019,10,20,孙燕姿的歌有一种艺术感,1,此女多薄情,1515644746
