index,year,month,day,content,likecount,nickname,user_id
1,2019,11,28,如果觉得还能坚持继续喜欢就冲！没什么辜不辜负后不后悔的 所有路都是走过才知道的,0,小醺w,1943651150
2,2019,11,28,加油,0,何以渡春风,2025905080
3,2019,11,28,不知道未来会如何，坚持下去会不会辜负自己，不坚持会不会后悔,0,久溺深海见阳光,291694384
4,2019,11,28,.实在放不下怎么办,0,久溺深海见阳光,291694384
5,2019,11,28,坚持过努力过挣扎过.可也还是只能放过你啦。,1,小醺w,1943651150
6,2019,11,27,行到水穷处 坐看云起时,2,小萍今天瘦了吗,1321788602
7,2019,11,27,加油高三真的很重要,0,木木木木木木木木木先生,1800274229
8,2019,11,27,对对对！那时候的歌真的好有韵味,0,昵称都被占了我敲无奈,1768791890
9,2019,11,27,距离高考还有193天，希望自己能逆光前行，不负自己！,3,FICKLENINE,1366566053
10,2019,11,27,上大学后，怀念高中的那群朋友！想念高中！高中生活是无法忘怀的，即使高中累，苦，但是有朋友的陪伴！快乐！,0,可爱无敌的敏敏,1815878763
11,2019,11,27,嘿，我是柠檬收集站，收集一个又一个酸酸的故事，欢迎投稿啊,1,柠檬收集站,1924732151
12,2019,11,27,那个时候我都还不懂什么是音乐呢,0,中华小曲库BadBoy,317997283
13,2019,11,27,加油吧唉,0,我的名字叫做-安-,426546683
14,2019,11,27,备研了！放下一切，所有你喜欢的，不喜欢的。加油！,0,陪你倒数_wy,596319859
15,2019,11,27,哈哈,0,清心丶得生,16556450
16,2019,11,27,我也是高考生 一起加油吧！,0,Delusionary,432036426
17,2019,11,27,燕姿姐姐 爱你,0,Noldesspapa,1435747611
18,2019,11,27,男周女孙,0,Ssoar,288604664
19,2019,11,27,熬过这段时间，你回头，你会感谢这段时间奋斗的自己！人生不过是一段又一段努力让自己变得更好的过程！,0,狮子座的ming,363918881
20,2019,11,27,集体旅行在后天，我要独唱逆光诶！！！燕姿燕姿,1,亚沙-海菲茨-帕尔曼,1876215044
21,2019,11,27,你回来在我身边好吗？,0,死亡190901,1967259522
22,2019,11,27,抱抱，不知道咋说，反正熬过去就好啦，加油!,0,_卿羡_,1774956613
23,2019,11,27,今天歌手大赛一个小学弟唱啦 就想起了很久以前听这首歌的感觉 真好,0,是你的啊咧ya,559879388
24,2019,11,27,加油鸭！真的高考过后才会发现，高考那段时光真的很纯粹，很美好！加油你会成功的,0,米勒星球,354924098
25,2019,11,26,抱抱 加油！！,0,嘻嘻啦啦啦哈哈哈,1351083074
26,2019,11,26,加油！我也是高考生,0,Ninna_i,547488023
27,2019,11,26,会的,0,彼得兔爱吃胡萝卜,332630790
28,2019,11,26,别想不开啊 尽力就好！,0,彼得兔爱吃胡萝卜,332630790
29,2019,11,26,愿你岁月波澜有人陪，祝我余生悲欢有人听,0,原地等待我的爱人,260386111
30,2019,11,26,加油啊，未来还有很多美好的可能啊,0,旧栞780,566873203
31,2019,11,26,你  逆光而来  与我擦肩而过,2,如果一分钟有六十一秒,1772558213
