index,year,month,day,content,likecount,nickname,user_id
1,2019,11,22,嗷我知道了[呆],0,呼叫鱼丸我是虾饺,387989444
2,2019,11,22,张惠妹专辑怎么有孙燕姿的歌[呆][呆][呆],0,呼叫鱼丸我是虾饺,387989444
3,2019,11,4,这个遇见评论怎么介么少！,0,林阗,1497121360
4,2019,10,23,好听,0,莫年67373,269058409
5,2019,9,24,遇见,0,汤姆_cat,309630823
6,2019,9,21,在最贫穷的年纪遇到了最想守护的人，这算遇见吗？[皱眉][皱眉],0,Wolver1809,1597060688
7,2019,9,2,唱那么久还是孙燕姿的一唱就触动我心,2,hy日天,1334673909
8,2019,8,27,十多年前的一个凌晨，睡醒一觉，听到这首歌！有亲切感！[呲牙][呲牙][奸笑][大笑][大笑],1,音乐无极限平常心,341060598
9,2019,8,24,不老,0,啦啦橹哦,509983197
10,2019,8,17,好想遇见你,0,柷柷柷,449388097
11,2019,8,16,从高中那一个个失眠的夜晚开始听这首歌，到现在每次听这首歌都会想起过去一个人蜷缩在床的中间，感受无尽的孤独,0,uiaui-z,1295368226
12,2019,8,14,喜欢这版的遇见，评论咋这么少[鬼脸]顶起,0,李紫茉,393648336
13,2019,8,11,加油(ง •̀_•́)ง，99呀！,2,GUDUZHENGer,515739844
14,2019,7,30,这版的遇见更加成熟,1,Ashes祁琛,1392928844
15,2019,7,28,宝贝儿~遇到你我超级幸运呀！！咱俩在一起已经三个月了呢！！我希望咱俩可以一直谈下去！！我爱你呀宝贝儿~💗你是我谈过的最后一个！我向你保证！我一定娶你回家！你想什么时候结婚就什么时候结婚！只要你愿意陪我一直走下去~我爱你！老婆💖💖💖,3,梦想失败的地方,349396232
16,2019,6,15,有评论十万的版本,1,1004FENG,53302831
17,2019,5,20,我去看看,0,1Till,308312209
18,2019,5,20,这只是另一个啦，你再搜一下另一个遇见20多万,0,forcesky,100607744
19,2019,5,17,好久前的歌了，还400+,0,1Till,308312209
20,2019,5,16,这还不火。。,0,forcesky,100607744
21,2019,5,11,"初见你时羞涩的一声“嗨”，不敢去想象属于我们的未来。
遇见你真好，遇见幸福的班车，也总有一个人的旅程。
再有遇见美好的时候，也努力展现我的勇敢和执着吧。
我会珍藏这份回忆，和回忆里独特的你。
遇见是为了更好的重逢，遇见更好的你。",1,小苏倘若,257391176
22,2019,5,2,总有一天 我的谜底会解开,0,你看月亮刺眼么,615588064
23,2019,4,12,为什么评论这么少哇,0,你是思念蓉吗,382184229
24,2019,4,11,总觉得这是一首有故事的歌，承载了我的青春。,0,斯人若彩虹_何以遇见,569713625
25,2019,4,5,小时候枕头上全是口水，现在枕头上全是泪水,3,群星的光与影,267017975
26,2019,3,31,被记忆深藏的歌,0,惟妙果冻爽,455441951
27,2019,3,29,怎么听都听不够,0,QIN希希,320220662
28,2019,3,28,遇见💕,1,throughtherain_,1362015428
29,2019,3,25,就是啊,1,浅陌一鸭一,1645734727
30,2019,3,25,说句实话这歌不火也好，自己留着听,3,1Till,308312209
31,2019,3,24,我发现了呀！,1,浅陌一鸭一,1645734727
32,2019,3,10,两年了啊，这么好听的歌始终没有被人发现,2,1Till,308312209
33,2019,3,8,"十一年前，遇见你；
四年前，失去你；
如今，我有了两个孩子；
一个叫花生，一个叫毛豆；
你看，即便不想你，我还是可以生活的很好；
没有了故事，生活也可以下酒。",2,小小小小的蜜蜂,387643290
34,2019,3,3,我遇见谁会有怎样的对白，原来已经听十多年了，原来我已经长大了,1,闲虫子_,443216261
35,2019,2,25,我遇见你是最美丽的意外,2,南笙Amy,137075188
36,2019,2,16,想给你发信息，想给你打电话，想给你道晚安，可惜电话的那头不是你。@你要养我一辈子啊 真的好想你。,0,我的小胖脸呐,315139486
37,2019,2,11,好耶,0,老酷的何先生,411229798
38,2019,2,6,2 her,1,_一颗开花的树_,304982021
39,2019,1,13,我想，我等，我期待。却不知当初的不留痕迹，就是最好的结果。像是昨天看的热评一样，“当你剥开橘子后，可能会觉得它很酸，可对橘子来说，那就是它的全部”是全部又怎样，酸就是酸。所以丫，当它还是整个橘子的时候，就不去碰它，该多好。,3,大泥巴勒,559923362
40,2019,1,11,有了他之后，每一天都好晴朗,1,你想干嘛呢哈,1413972745
41,2018,12,24,至孙燕姿:遇见你，是我最美的意外,1,陌上墟烟,538736613
42,2018,12,7,这个世界是美丽的。,3,云村小尹,561094701
43,2018,11,26,发现穷人版。,2,清风杨柳知我意,433917475
44,2018,11,4,你在多远的未来啊，你怎么还不来找我,5,那你要我怎么办嘛,322167323
45,2018,10,26,这个世界是美丽的，就算充满了悲伤和泪水，也请你睁开双眼，去做你想做的事，成为你想成为的人，去爱你想爱的人，找你想要的朋友。不必焦躁，不必迷惘，请慢慢地长大，无论发生什么事情，请不要后悔与这个世界相遇。                                            2018.🔟.26,4,K-Curryiain,1550881623
