index,year,month,day,content,likecount,nickname,user_id
1,2019,11,27,四年多了，终于打卡银泰✅,0,Stef小傻,95849389
2,2019,11,27,天津—曼彻斯特—北京 加油,0,李子敬_,291613676
3,2019,11,25,"我有些开心又好像不开心，因为今天过后，我再也没学上了。
接下来要去的城市也不是北京，是个小城。但我有种感觉，在不久的将来，我会去往北京，找到我想要的生活。",0,凉与默,1382910239
4,2019,11,25,中学时杭州开了第一家银泰 中学时也买了第一张孙燕姿的专辑 封套上写着 没有一个22岁的女孩 像她一样唱歌 一张专辑九块八 一个月的生活费三百 买的每张专辑都会在温书的夜晚反复听很多遍 连同心中的大学和远方 独自度过很多个夜晚 谢谢你的这首歌 让我在这样一个夜里又回到回不去的时光,0,月半171102,633843113
5,2019,11,25,这也是我听的最多的几首之二哈哈,0,半座城池丶,500055772
6,2019,11,25,我现在只想好好珍惜我可以把握住的,0,只喝可乐的猫-_,580979239
7,2019,11,21,一旦有了期待 心情就会忽明忽暗,2,Atmosphere7,46501927
8,2019,11,21,也？,0,吃火龙果的益达,95373495
9,2019,11,21,学长在哪个学长读研啊,0,半座城池丶,500055772
10,2019,11,21,飞机动车一下子就来了~,0,吃火龙果的益达,95373495
11,2019,11,21,我确实没有资格  但你却脏了我的眼,0,道心和神棍,90784300
12,2019,11,20,幸福一生,0,摄氏怪卡,39258422
13,2019,11,20,北京啊北京，我明年能见到你吗,1,半座城池丶,500055772
14,2019,11,20,生命力极顽强的歌姬,0,holefiller,54741032
15,2019,11,20,合肥起风了,0,绿水悠悠1708,562044240
16,2019,11,19,等了10分钟不到就走了，一直在放开场音乐,0,钢弦music,51129782
17,2019,11,19,最喜欢这首,0,吉姆的木屐,309494831
18,2019,11,19,结果放了吗,0,在-也不会见,263534933
19,2019,11,18,毕竟伍家辉的作曲水平是一直在线的。,0,Demetria00,488275357
20,2019,11,18,南昌起风了。,1,難得一堅,645761304
21,2019,11,17,昨天在成都专程打车去银泰城看看有没有在放我的歌[大哭],0,钢弦music,51129782
22,2019,11,17,我早已等不及想去见你,0,Wow_HAYA,9832804
23,2019,11,15,起了风就有蓝天白云，环保歌曲啊这是,0,用户61441209,61441209
24,2019,11,14,银泰不是应该感谢冷玩妹？,1,二狗Go1703,435800644
25,2019,11,13,我感觉就是唱给漂泊在外的人啊，再绝望也要坚守,1,狐狐狐糊胡,1301675593
26,2019,11,12,加油↖(^ω^)↗,2,因你而微笑O,470260306
27,2019,11,12,好听！！！！！！！！！！！！相比克卜勒竟然更喜欢这首,3,不孤独星人,82538342
28,2019,11,11,哈哈哈哈哈银泰城吗,1,愚人等,117460668
29,2019,11,9,我好喜欢这首歌喔,3,鹿岛宸,565622646
30,2019,11,7,"“坐进车厢，城市就会摇晃”
蓝天 白云 和我的好朋友坐着开往前门的公交🚌去杨梅竹斜街去吃日料，逛小胡同，还发现了旧旧的京华客栈…",4,zzzluluuuu,395133713
