index,year,month,day,content,likecount,nickname,user_id
1,2019,10,9,发现宝藏！你爱上了我哪一面！,0,MUM-Leslie,393265805
2,2019,10,3,燕姿两颗大门牙好看[大哭],0,龙龙T80,471213156
3,2019,9,29,好喜欢这张专辑的封面。,0,逆光181227,1716231811
4,2019,9,27,追星的孩子们，你喜欢的真是那个人吗？或者你喜欢的那个是真正的ta吗？,0,玛德琳Unbreakable,483164493
5,2019,9,17,嘻嘻真好听,0,也不是猪只打呼,355734135
6,2019,8,30,太可爱了叭哈哈哈哈ヾﾉ≧∀≦)o,2,Bebravefny,451237124
7,2019,8,19,记得这首歌MV特逗,0,咬不着尾巴的狗,337404022
8,2019,7,27,学生时代，这张专辑出来的时候，当时很喜欢这一首。觉得好好玩[亲亲],2,鱿鱼圈的圈圈,617198191
9,2019,7,18,当初超级爱这首唉,0,香蕉鲨鱼,256470897
10,2019,5,5,人咧,0,今天美好且平凡,551345119
11,2019,4,30,这首歌的MV超级可爱，有机会一定要看看，非常好玩,0,经纬180729,1536664663
12,2019,4,29,这歌没人???[惊恐],0,妈妈说名字太长会被打就叫,1401129138
13,2019,4,4,捞一下姿迷[多多捂脸][多多捂脸],3,SuHerRrY,247547208
14,2019,3,18,daka,0,潜水大鲸鱼,476471883
15,2019,2,16,爱情是盲目哒~跟了解不一定关联的呢[跳舞],0,鲜花牛仔裤的夏天,338436383
16,2019,1,5,爱情与了解不一定有关联，没发现吗？,0,茫茫然然不知道,1339270292
17,2019,1,5,"你的爱是否太表面，
爱情与了解不一定有关联
世界在变难道我们不会变
喜欢不等于爱
我的缺陷都无视?",0,茫茫然然不知道,1339270292
18,2018,12,13,随堂测验的词写得真好,2,FHiris,301608023
19,2018,11,19,晚自习高数和姿姿更配哦！,3,任我行走江湖血雨腥风,1492183287
20,2018,11,2,同是80后，那时已经上大学了[开心],0,neilex,327369828
21,2018,10,29,从小学就开始喜欢姿姿的80后[亲][亲],0,渝鱼木,322915856
22,2018,10,24,先行版有什么不同吗?,1,有橘生淮南,432411313
23,2018,9,12,人在得到前什么都不介意，在拥有后什么都有点介意，这就是爱清 希望你不要太介意。,2,梵谷不跳舞,132774418
24,2018,8,13,“难道喜欢 就等于爱” 这一嗓子又让我想起了《充氧期》！,4,Bubble的开始,376172468
25,2018,8,2,...🎧,1,_诗芊,81037679
26,2018,7,28,(≧∇≦)ﾉ骨灰级燕姿来报道,7,Angelica白芷,307515
27,2018,7,23,其实球鞋就是平底鞋,0,骑士1989,75521112
28,2018,7,2,14:51,0,林守乐,55243746
29,2018,5,24,测验不及格…,2,木桶晒太阳,68814444
30,2018,5,20,[爱心],0,夢诶诶,316423550
31,2018,5,11,我喜欢得是雨天.听得孙燕姿的唱片.喜欢你的王子面[亲],4,有6块腹肌的boy,117476108
32,2018,5,5,很带感,1,毛毛虫0912,323067104
33,2018,4,27,前奏有点像充氧期,0,nidemingzi你的名字,586048443
34,2018,4,23,[憨笑][憨笑][憨笑],0,luzhengui,275810017
35,2018,4,23,这是欢脱的燕姿和我哈哈哈,2,聪明的zjy,379413574
36,2018,4,17,@乌云里的晴天喵是要作呜喵王的喵 了解和爱情，完美契合呀~,0,晴天清甜,62618725
37,2018,4,16,你真的了解我吗？我又真的了解你吗？我们认识那么久，聊的却都是彼此之外，人不再习惯讨论自己。如果有那么一个人愿意了解你的点点滴滴，如果有那么一个人一点小事都想和你分享，不敢说一辈子，至少珍惜吧。,2,陈西楼,389584982
38,2018,4,14,看完评论就你嘴皮,0,rfmjs,1357855390
39,2018,4,14,start,1,追风少年依旧,85096665
40,2018,4,13,好听呀,1,王金1711,632842409
41,2018,4,11,按这个随堂测试去测试估计很多情侣可以说88了,3,闲之猫猫,77414220
42,2018,4,8,又是一首影响我感情观的歌😂,2,ChordsH,83540168
43,2018,4,3,🤙🏻,0,anbf,18647233
44,2018,3,31,随堂测验,1,姿态yzi,620013251
45,2018,3,27,顶顶顶,0,Walker-AAAA,74313762
46,2018,3,24,燕姿这张封面和大表姐的感觉好神似,1,用户73385850,73385850
47,2018,3,14,我小的时候，西安电视台2套天天放这首歌的live，然后就被洗脑了，这么多年了，还记得,2,晋同學,42172627
48,2018,3,6,当然喜欢雨天了,1,33轉的LP,630862795
49,2018,2,26,这个好好听，评论太少,0,十十十十个七,507966959
50,2018,2,25,好年轻的唱法,0,zziiij,69399237
51,2018,2,24,不需要999+了，姿迷喜欢就行,2,33轉的LP,630862795
52,2018,2,17,特别喜欢前奏,0,光胴胴小伙子,37697794
53,2018,2,14,但是真的好听,0,找圣剑的亚瑟王,11778018
54,2018,2,14,好青春的感觉,0,找圣剑的亚瑟王,11778018
55,2018,2,11,往往这种没有999，听起来很带感。,1,fro_z,302372556
56,2018,2,8,喜欢看大家在这里写下的对燕姿的爱,0,只爱偏执狂,284012194
57,2018,1,29,燕姿的歌应该999，有没有人发表看法？,2,6205A,409064871
58,2018,1,25,中间的和声超赞,0,yanzicst,79056105
59,2018,1,25,这个唱腔很可爱～,0,yanzicst,79056105
60,2018,1,24,我就想不明白怎么燕姿的歌这么少评论,0,Ed1son--,279253821
61,2018,1,23,姿持姿持[爱心],0,徐丨若木,246749232
62,2018,1,19,你爱的是雨天，因为.. 杰伦的《晴天》，莫文蔚的《阴天》，燕姿的《雨天》 love燕姿[爱心],0,微溦微凉,66314208
63,2018,1,18,我。。明天就要去随堂测验了,1,Glacierrr-,356576618
64,2018,1,17,我喜欢统一的酸菜,0,清凉油A,255667395
