index,year,month,day,content,likecount,nickname,user_id
1,2019,11,25,他们都劝我找个新的，你也有了他。可我就是想再和你一起，我只想和你一辈子陪着你，虽然现在许下的承诺太早，可我愿意，就算你娶了女孩子，我也会陪着你。Forever。,0,嗯呢哦漏,1648541949
2,2019,11,21,简直太好听了，唉,0,imba丶小神,1353128184
3,2019,11,19,最后一通电话，他不给我一句解释的时间，现在突然想到，忘记跟他说，他最爱的电影，我看了……,0,kitty柏大妞儿,51876902
4,2019,11,13,“掩饰我伤痕”“隐藏我的泪在翻滚”之后还是“给你我的体温 好帮你驱走寒冷”唱到心坎里去了 我们好像都很傻,2,苑子潯的小号,1548957065
5,2019,11,12,梁静茹。王力宏。也可以。这四个是陪伴我青春的最喜欢的歌手[爱心],0,Sally的藍色大門,369918568
6,2019,11,7,男周女孙,0,孙燕姿的小迷弟呀,262396111
7,2019,11,7,还有JJ,0,某秋nnn,1718811753
8,2019,11,7,？？？怎么和我一样（但是不同的是我妈买的三星,0,PO1SN,67471559
9,2019,11,6,后天的比赛曲目，加油,0,温小碟,470148925
10,2019,11,5,对你是没心跳的一个吻[心碎],1,孤独的维望尼,431596702
11,2019,11,5,对mv印象特别深。后来才知道里面的女生是郭碧婷,0,超级音乐4831,1391353618
12,2019,11,4,小时候我爸买的三星手机里带的MV，那时候也不会下载什么的，晚上在被窝里偷偷看这首歌的MV，已经数不清看了多少遍。已经好久没听这首歌了，今天听到，仿佛瞬间回到了蒙在被窝里的时光。,0,MLX丶Tech,64919943
13,2019,11,3,乐观点宝贝,0,又失棉了,303549664
14,2019,11,3,你值得更好的,0,又失棉了,303549664
15,2019,10,30,因为你 我开始讨厌自己 变得无自信 我都不知道 该怪自己还是怪你 多么奇怪阿,0,矢崎萩田,416054967
16,2019,10,30,我又梦到你了，我只能在梦里见到你了。,0,GoodbyeforNow1707,474180121
17,2019,10,29,多想化成隐形的人 掩饰我伤痕,2,渺渺烟波一叶舟YZ,127233173
18,2019,10,28,"我不是舔狗啊!我只是想默默爱着你 ,又想拼命接近你 .",3,kylin是跃门鱼,95278942
19,2019,10,21,可知我对爱的虔诚  可知我迷信我们  可知我难得放任,3,方爱笑1707,544785075
20,2019,10,20,爱得太卑微了，可是没办法，谁让他是我喜欢的人呢,2,茗茗de白日梦,1628852548
21,2019,10,16,燕姿的每首歌曲都好听,1,挺傻的我,1464050344
22,2019,10,12,结婚对于我来说是多么遥远的事情,1,丁以恒1018,127617224
23,2019,10,11,我总是会无时无刻不担心她，很美好的社会总会被我假想出很多危害。从大学开始，直至现在工作，我们总是异地，离得很多。我很失败，全是愧疚，对不起她不离不弃一直陪着我，而我始终不能给她拥抱，不能在她身边……,1,我才是强强强,55800971
24,2019,10,11,我天天都在哭，我怎么办,1,好玩和有趣622,1963580174
25,2019,10,4,想起了克卜勒的大合唱，2020快点来,0,XQ0823,489797899
26,2019,10,2,可太好听辽。,0,也不是猪只打呼,355734135
27,2019,10,2,俺又来了,0,也不是猪只打呼,355734135
28,2019,10,2,"“回避我执着的眼神 可知我对爱的虔诚”
我想到的是那位朋友。
付出再多，不该讨要回报。你自愿的，与别人何干。",1,小月令,514308411
29,2019,9,30,害！真好听！！！,0,也不是猪只打呼,355734135
30,2019,9,27,好像是围城[大笑],0,今夜听君歌一曲,277317726
31,2019,9,27,朋友都于心不忍,1,苑子潯的小号,1548957065
32,2019,9,24,怕是要听哭了,0,用户622893911,622893911
33,2019,9,21,"深夜 除了奶茶的歌，
我想 還能聽聽燕姿的聲音，
此刻 你打開播放器暫停的是那首歌？

這個點對很多人來算不上失眠
但是對我算是 算剛剛開始不知何時入眠
最近總是夢見她 劉若英啊 所以不敢聽她的歌了

不管前方的路有多苦，只要走的正確。
不管多麼崎嶇不平，都比站在原地更接近幸福。[爱心]",4,念茶小渔,33665496
34,2019,9,18,忘了从哪看到的一段话：“新人结婚时，不应该手搭着圣经说， 不论贫穷富贵，健康疾病都至死陪伴。 应该把手放在《进化心理学》和《自私的基因》这两本书上宣誓： 我将违背我的天性，忤逆我的本能， 永远爱你 ”,3,阿阿阿铭m,128108436
35,2019,9,17,唉。,0,也不是猪只打呼,355734135
36,2019,9,13,我还是等来了你那句分手吧,1,润小泽Ronny,1326160889
37,2019,9,11,我最近很喜欢这首歌,0,陋室盼风息,309257127
38,2019,8,30,歌声响起，马上就觉得心里很疼，曾经喜欢过一个人，每天单曲循环这首歌，过了这么久，久到早就忘掉那个人的存在，旋律响起，当时的伤心难过都好像还历历在目,2,夏简言_小蕊,46885241
39,2019,8,30,这首歌太好哭了,1,快送我出家,302527318
40,2019,8,30,晚安,0,思无邪且念起灵,625309568
41,2019,8,27,现在如何了,0,曌亮何方,1292542735
42,2019,8,26,词写得太好了,1,byebyebread,36947902
43,2019,8,25,这首歌歌词真不是燕姿的style啊,1,小四的酱油,493214532
44,2019,8,24,搭配近期热搜的#具惠善 安宰贤# 实在心疼得不行…这样失措绝望又想竭尽全力拥抱的心情 竟然还会被人假装道德地指责说“看起来好像精神不太正常啊” 那是你应该感谢 你的生活没有过这样的疼,1,Angelina-chiclife,84547502
45,2019,8,23,又是一首，似乎很久以前找了很久没有找到的歌……,0,风星星烟花于岁月之尽,77179753
46,2019,8,23,可知我对爱的虔诚,1,iammarcwhoami,323339396
47,2019,8,22,@LAISX,0,不自量力的还手C,263899351
48,2019,8,19,我也曾幻想过和你一起旅行，嘴上却是伤人的话语，你也还是放弃我了,0,北与南风,1446058518
49,2019,8,16,我现在连快递都懒得等了,0,AutumnSs,133187311
50,2019,8,13,林倛玉写给燕姿的歌都好好听,0,快送我出家,302527318
51,2019,8,12,最卑微 也最真,2,既定在多远的未来,275129595
52,2019,8,12,现在我做什么都失了立场，你可满意这个结果？,1,珀希子,545421592
53,2019,8,9,所以呢 你现在连看她的勇气都没有 那就祝福她过的好吧,0,Holy灬,3242302
54,2019,8,7,这张专辑对于我 最有纪念意义 是她送给我的专辑 ,2,BuBusVaVa,248747906
55,2019,8,7,今天七夕，她过得比我好。,0,7ry4,340894528
56,2019,8,7,人可能是活该吧，所以才会有，爱自己的人总被无视但是又再另一个人面前卑微至极,0,那么多名每一个都被先用了,1617906300
57,2019,4,14,香港演唱会的二重奏❤️,0,_不加糖有点甜,128108088
58,2019,1,5,这就是歌迷和粉丝的差别吧[可爱],19,MF晴天,103051058
59,2018,7,31,你说你要追剧了 你打开网易云 第一首日推 隐形人 身体告诉你 你要睡觉了 放到第二首 然后你想起昨晚的惊雷和离别 你说你心都要碎了 你意识到 外界制服你太久了 循环了一夜的 需要人陪 你白天笑着说 单身太久了 其实关上门 回到一个人的房间 你才承认 喜不敢言 爱而不得 ,2,ymelo_,368807413
60,2018,7,6,b站有个香港站演唱会麦克风坏了四分钟的歌迷合唱版，绝美,0,AAAAria,17391628
61,2019,7,23,想化成隐形的人,2,dreamskya,447977145
62,2019,7,23,"总说深情留不住，我留不住你，程媛清。
很难过，总觉得心被挖去一块，你走的那天，我本以为，只要我对你好，你可以给我机会，但是事与愿违。
我对你的爱，总是小心翼翼，我不愿意伤害你，但可能也给你压力了。
如果，我说可能，希望你回头看看我，我一直在原地等你。",1,Lynch123,106634539
63,2019,7,23,雪雪我们一起加油额,2,叫我周润发,1674991
64,2019,7,22,喜欢,1,燕姿啥时候开演唱会,395002840
65,2019,7,16,尽量别去喜欢让你卑微到尘埃里的那种人。,5,江涛的江,116930588
66,2019,7,16,可知我难得放任...,2,张serebii,132829745
67,2019,7,15,专辑最佳,1,姜民谣,248939313
68,2019,7,14,多想化成隐形的人,1,霉头霉脑云散月现自在飞花slay,42294326
69,2019,7,13,淡淡的悲伤，不知从何而来，但就是无法忘怀，萦绕于心。我会一直爱你，尽管你那么讨厌我,1,Joyce的橙子,1665584207
70,2019,7,13,我怀疑我是来这世界凑人数的,4,Joyce的橙子,1665584207
71,2019,7,13,卡,1,Chertime,83946830
72,2019,7,11,某段时间，不断循环这首歌，直到走出那段低谷。,1,从前有个跳跳Jaye,487830997
