index,year,month,day,content,likecount,nickname,user_id
1,2019,9,19,再回你一个,0,姿乎者也,124110299
2,2019,9,19,2020可以唱吗,0,姿乎者也,124110299
3,2019,9,4,太好听了吧！！！！,0,Erika_Linder,305117600
4,2019,8,22,认识孙燕姿的第一首歌[憨笑],1,港岛妹夫8341,380606423
5,2019,8,19,时刻给我们力量的姿妈,1,潜水大鲸鱼,476471883
6,2019,7,29,这个算摇滚吗？,0,墨兰sky,318947705
7,2019,6,16,哈哈哈[开心],0,哦珍妮花比尔斯,137203265
8,2019,6,16,天啊，第一次有人回复我，哈哈哈。,0,Kikikikikiii,89765508
9,2019,6,16,特意去b站找这段视频看了，确实是hh,0,哦珍妮花比尔斯,137203265
10,2019,6,16,3:04忘词了吗哈哈,0,哦珍妮花比尔斯,137203265
11,2019,6,16,以前的嗓子真好、live好稳,0,哦珍妮花比尔斯,137203265
12,2019,3,28,在餐厅和美女约会吃饭，此时餐厅里这首歌不合时宜的唱起来，我:算了吧，就当好好吃饭！,2,无度c梦境,310709941
13,2019,2,11,这首歌居然没有热评,2,跳舞的克卜勒,122786310
14,2018,12,25,浪费的人要被惩罚,4,大小木立,321085230
15,2018,10,16,好听好听,2,虎虎fly,343593481
16,2018,9,12,最爱一首[亲亲],1,一只花大海,293152023
17,2018,8,9,干干脆脆,3,毛翔宇,291098833
18,2018,7,2,边复习边听，笔记本已经随着旋律被戳破了,3,冰糖草莓不要冰糖,82040326
19,2018,5,25,欢快 我的小燕姿,2,英格拉姆s,344450592
20,2018,5,25,超快感喔,0,英格拉姆s,344450592
21,2018,5,25,燕姿的经典,1,英格拉姆s,344450592
22,2018,5,15,夏天和燕姿更配噢[呲牙],1,小大小大x,318398757
23,2018,5,7,好了吧，算了吧，啦啦啦...[吐舌],2,无度c梦境,310709941
24,2018,4,8,我姿[亲亲],2,Lydiaangle,270815141
25,2018,3,12,大赞,3,33轉的LP,630862795
26,2018,3,4,我姿,2,我有努力和这个世界变熟,394296679
27,2018,1,5,刷专辑又刷到神曲，再跑来听live版，真爱如我,9,JeanZer0,115069125
28,2017,12,11,好像唱的好累,0,郑Milofffff,44329596
29,2017,12,8,只有我留意到 唱错歌词 然后立马转回来的燕姿了么？,1,Kikikikikiii,89765508
30,2017,10,31,还有几天了,1,_西安张学友_,272880283
31,2017,6,19,做了吧,0,甲壳猫1704,455487789
32,2017,6,18,[爱心],0,永远有多远灬,346081467
33,2017,6,8,"中学时代追的第一个新加坡女歌手...音乐精灵,启蒙音乐第一首是『绿光』...方文山的第一首是『直来直往』...到后来的阿杜,杰倫,Jolin,s.h.e, JJ,南拳妈妈...",2,愛在惜緣前328,90660152
34,2017,5,13,"燕姿
",0,一地故里,118066649
35,2017,5,13,没办法就想办法，可是想听你演唱会呢？,1,一地故里,118066649
36,2017,5,13,第一次听难得一见就是这个版本的。节奏和舞台灯光协调的很好。,0,cheunghb,44342582
37,2017,5,11,谁要我[奸笑],0,Katrina是土环星上的白日梦想家,252923574
38,2017,5,11,酷,1,Katrina是土环星上的白日梦想家,252923574
39,2017,5,3,姿妈快发新专啊啊啊啊啊,0,阿Dar,94482447
40,2017,4,23,最后的“燕子，燕子”我听成“吴彦祖，吴彦祖”。。。。,0,也许离开,395191028
41,2017,4,16,好想听一场姿妈的演唱会,0,黄渡恶霸,96772813
42,2017,4,15,以前经常单曲重复的歌，忽然想起 搜来听听。,1,龙photo,37177085
