index,year,month,day,content,likecount,nickname,user_id
1,2019,11,28,我可太喜欢孙燕姿了,1,蛋炒饭要放葱,113512737
2,2019,11,27,该说的该做的    好好把握,0,Scorpion394,309535112
3,2019,11,27,爱姿病冲鸭[爱心][爱心][爱心][爱心][爱心][爱心],0,盐太咸1,1396044220
4,2019,11,26,没办法那就想办法，哲理啊,0,Y淘淘,283975376
5,2019,11,22,999+！！！冲鸭,0,Sivan_Chen,328794482
6,2019,11,22,999+ 做贡献,0,墨雪姑娘,136167521
7,2019,11,20,有时候 你会想说 你在为什么辛苦,0,forriverr-,267867306
8,2019,11,17,音色为王,0,坏兔子_,451109516
9,2019,11,16,难得一见2019.11.16，18：14,0,无忧的凨,1337917522
10,2019,11,16,才发现这首好歌，等下要去考试了，听这么好听的歌，再蹭一下超越漂亮姐姐的锦鲤，一定能过。（保佑保佑）[拜][拜],0,BRONCN,345701296
11,2019,11,15,我也想求个姐妹唱唱这首歌[多多大哭],0,智商被拿去卖萌,371807748
12,2019,11,15,瞬间感受快乐榔头[惶恐][惶恐]把头伸过来我给你加个BUFF[大哭],0,爱柠檬的小狸子,487666123
13,2019,11,15,不知道后面是否有人会翻唱，好喜欢这种拽拽的feel,1,得意尽欢吗,1995833702
14,2019,11,13,前奏的“说了吧 做了吧 没办法那就想办法”好勾魂,1,苑子潯的小号,1548957065
15,2019,11,13,这首歌真不冷，作为每张专辑都需要的一首快歌，直来直往是超过了奔在我心中的位置的。,1,逃亡的kepler,104111830
16,2019,11,12,太喜欢这种干脆,2,一闪一闪SUN,78150830
17,2019,11,9,很好听,1,重口味小清新rky,297883619
18,2019,11,8,这首歌没有999＋也太假了吧,1,EDG_Clearlove10,489173588
19,2019,11,4,太喜欢这首歌了。,1,识刀客,623315109
20,2019,11,2,"听歌果然不能看评论数量,前面几首都是2k+,一首一首听下来,这首不到1k的简直对我味",1,showlay-,322942569
21,2019,11,1,为啥是956 还没有到999,1,guojiann,117781006
22,2019,10,31,刷个999,1,XQ0823,489797899
23,2019,10,31,并不冷门呀，明年会唱吗,1,XQ0823,489797899
24,2019,10,30,就是这么洒脱,1,珈曳,637769065
25,2019,10,21,今天突然随机到,1,少年刘贺之烦恼,72066549
26,2019,10,21,十八年了还是独爱这一首，那么多年也没见哪个妹子能在KTV唱出这首歌的气质,1,Antonioabas,45678652
27,2019,10,21,小学疯狂爱这首，今天一听又爱了,0,Aaaaon19,1328958449
28,2019,10,19,难得一见，2019.19,0,白雨柰花,368598999
29,2019,10,17,我爱燕姿一切冷门歌曲！,0,互联网石原里美,435471851
30,2019,10,17,第一次听。,0,bronzer123,346599653
31,2019,10,16,幸运的人别说废话~,0,也不是猪只打呼,355734135
32,2019,10,16,快999+,0,也不是猪只打呼,355734135
33,2019,10,16,真好听啊啊啊啊啊,0,也不是猪只打呼,355734135
34,2019,10,13,我也是，第一次认识孙燕姿就是听这首歌,0,viva张,39626578
35,2019,10,11,2020年到了,0,滚筒洗衣机0624,494539451
36,2019,10,9,这首歌里面有我的名字发音~~,0,Kiwi网易云,1389954843
37,2019,10,8,幸运的人别说废话,0,成晟晟,106394715
38,2019,10,7,难得一见！珍惜它！,0,玛德琳Unbreakable,483164493
39,2019,10,4,喜欢,0,Miss杨芬芳,408558691
40,2019,10,4,不火？这当年大街小巷火成怂了,0,桑丘yy,84034768
41,2019,10,2,难得一见，那咱就想办法😂,0,RaySooong,1979566620
42,2019,9,28,最爱孙燕姿,1,跳舞的梵谷yanzi,318974517
43,2019,9,28,唉燕姿,1,跳舞的梵谷yanzi,318974517
44,2019,9,28,刷到999啊,1,跳舞的梵谷yanzi,318974517
45,2019,9,26,咕咕,0,小狗258,264260918
46,2019,9,25,现在听旋律真的好棒啊……,0,hey-gogo,318644926
47,2019,9,24,我超爱这首,1,新基磁瓦,83098070
48,2019,9,20,最喜欢的唱腔,0,Sparrrrk,270935914
49,2019,9,14,前奏说了吧做了吧那就想办法真的像走在乡间小路上一只绝美的女鬼在面前一样哈哈哈还有点神仙在召唤的感觉,1,苑子潯的小号,1548957065
50,2019,9,13,风格好酷,1,识刀客,623315109
51,2019,9,13,容易听上头的歌,0,Kepler小姿,342372326
52,2019,9,13,爱你,0,Kepler小姿,342372326
53,2019,9,13,小姿中秋快乐。,0,Kepler小姿,342372326
54,2019,9,11,停了这么多遍才听明白这是首情歌[可爱][可爱],0,咕叽咕叽zuishuai,388653482
55,2019,9,11,为什么这么好听的歌不火,0,咕叽咕叽zuishuai,388653482
56,2019,9,8,单曲循环,0,萌达未生,584032981
57,2019,9,8,i了,0,萌达未生,584032981
58,2019,9,7,好熟悉啊，感觉好多以前听过的歌居然都是燕姿的[多多比耶],0,不好我高三了,1340821924
59,2019,9,7,好喜欢这首,0,SANJIU9,281870167
60,2019,9,6,爱了爱了 爱燕姿,1,cestbon721,246527261
61,2019,9,5,洗脑神曲,0,Owlgogo,499953602
62,2019,9,4,这是我听的孙燕姿的第一首歌,0,爱吃咸菜的菇凉,73438800
63,2019,9,3,太好听了 吧～,0,不寻找周杰伦,31585332
