index,year,month,day,content,likecount,nickname,user_id
1,2019,11,18,这风格,0,forriverr-,267867306
2,2019,9,2,天呐这个风格绝赞我哭了,0,漂浮群岛et_moi,101098936
3,2019,7,13,这么粗糙的现场还能唱这么好,0,Chertime,83946830
4,2019,5,24,演唱会快来吧,1,张学友阿-,422798281
5,2019,1,7,超赞！,0,currencybao,258261214
6,2018,12,1,哈哈哈哈哈，现场版可爱炸了[多多亲吻][多多亲吻][多多亲吻],1,stef小燕飞飞,263481393
7,2018,8,3,🎧,0,_诗芊,81037679
8,2018,4,19,❤燕姿唱的都好听❤,3,-----Stefanie,454876432
9,2018,1,26,想,0,极美欢庆,351351231
10,2017,12,16,人好少 哈哈哈哈,0,芦根甘草薄荷饶,248359022
11,2017,7,20,情绪化有什么不对[奸笑],1,泽彦式,83081825
12,2017,7,6,[怒]姿媽，你再不好好🎤[亲]我還是愛你👄,3,鄒爸比,85768778
13,2017,6,17,刚买了这张live的专辑吼吼,0,StefanieTXX,126966250
14,2017,6,17,嗨嗨嗨,0,StefanieTXX,126966250
15,2017,5,28,[大笑],0,气氛来了就要醉,308485041
16,2017,5,9,伪前,0,我不卿卿谁复卿卿,307978899
17,2017,5,3,"He,",0,阿Dar,94482447
18,2017,4,10,这首听得神清气爽:P,1,Rainieowo,83366096
19,2017,1,6,你姿唱快歌都辣么可爱~~么么哒,0,闪泥啦啦啦,88079495
20,2016,12,3,我爱你孙燕姿，说爱你要直接一点,2,帐号已注销,124859943
21,2016,7,27,我是王海峰我喜欢孙燕姿,1,爱姿海,126397948
22,2016,6,6,嗨成狗🌝🌝🌝🌝,0,闪泥啦啦啦,88079495
23,2016,6,5,多谢！！！,1,光明Luke,63504826
24,2016,5,5,当年这场演唱会的live完美零缺点😘,1,孙燕姿的手,100429699
25,2016,4,27,我姿,0,帐号已注销,75770019
26,2016,4,11,孙燕姿,0,楼下小黑君,70532770
27,2016,3,1,来过南宁 [爱心],0,小疯饭,121029568
28,2016,2,18,抖腿ing,0,Magic1lin,86285214
29,2016,2,18,[色],0,Magic1lin,86285214
30,2016,1,22,占座,1,海外小仙人,65586509
31,2015,10,20,已提交动态歌词,18,鸡骑猫,32964280
32,2015,8,18,么么哒,1,这个感觉有点low,52438196
33,2015,3,16,哈哈😄,1,我的故事你的歌,31183715
