index,year,month,day,content,likecount,nickname,user_id
1,2019,11,20,我要你临界点,0,transcend0,279460949
2,2019,11,18,晚安喽🌙✨,0,图弗洛,315079736
3,2019,11,9,为什么评论这么少,0,颜值花园_,1373869507
4,2019,11,5,18年前的事情，暴露年龄了哦🙄,0,气场太弱,115128568
5,2019,11,1,哈哈哈哈哈哈哈哈,0,Greyson0622,273001986
6,2019,10,31,太爽了,0,坏兔子_,451109516
7,2019,10,22,好听！,0,臭大臭狗,274942788
8,2019,10,22,2019年孙燕姿也当了导师。,1,忑鞍,114256054
9,2019,10,8,我是我词曲没问题，燕姿的part没问题，就是男声拉胯，每次听都希望燕姿再录一版solo的,0,相隔着银河,90200106
10,2019,9,23,[大哭]我怎么觉得 我是我  蛮好听的啊,1,慕峥嵘_,344599356
11,2019,9,23,张扬的话，已然说不出口！只能听听歌，发泄出来情绪,1,粉cxk的突鱼,330939834
12,2019,9,21,早期倒是有我是我 中间地带这样硬塞进去的烂歌；后期只能说旋律不上口了，怎么就有烂歌了？！,0,气场太弱,115128568
13,2019,9,15,心情不好真的可以听她快乐,0,抽风的柑橘,111910050
14,2019,9,15,我的小甜甜,0,末秋紫枫,1832947792
15,2019,9,11,竟然没有999哇,0,猫阿0000,1547844887
16,2019,9,5,易家扬！！,1,尾鱼yu,547367478
17,2019,9,1,其实第一次听燕姿就是在同一首歌台湾行里的这首歌…然后一发不可收拾(奇怪的入坑姿势),0,pop07,1302680467
18,2019,8,27,这样每一刻都是最高点！,0,一个人的天空w,403894272
19,2019,8,22,情绪化有什么不对,0,会心痛的喵星人,1340308043
20,2019,8,21,早期的她真是这样，后期的专辑真的有个别烂歌了😂,1,富士ap,37041512
21,2019,8,18,以前用mp4听,0,路昔涯,623200294
22,2019,8,16,评论太少因为时间太早 磊哥赶紧日推！！,0,Jimusic,2396151
23,2019,8,13,"听声音,就知道是你,",0,软爷__,131224051
24,2019,8,10,好听,0,反叛的银时,570490151
25,2019,8,10,这么少评论吗,0,over大超,97902855
26,2019,8,6,赞你，以前听她的歌走过青春的。转眼间已到中年,2,途我自在,35867026
27,2019,8,6,满满回忆,0,途我自在,35867026
28,2019,8,5,燕姿是青春的记忆,1,我的弟弟是李兔颖,72810287
29,2019,8,3,我永远喜欢燕姿姿！！！,0,漂浮群岛et_moi,101098936
30,2019,8,3,跨行业客串？我们燕姿早些时候可是演过菩萨呢，哈哈哈哈哈哈哈哈哈,4,漂浮群岛et_moi,101098936
31,2019,8,1,别激动 哈哈哈,0,压缩和过载,42738681
32,2019,7,31,这首歌居然评论这么少？？？当年也算是满大街都放吧，有一次央视正月十五元宵晚会燕姿也是唱的这首歌，超带劲儿的[色],2,top_Aprilworld,1303520511
33,2019,7,30,又喜欢了[开心],0,孙燕姿丶,1813871469
34,2019,7,30,这首歌超有爆发力,0,多唯color,263208041
35,2019,7,27,打卡,0,Kepler小姿,342372326
36,2019,7,24,这首歌为什么评论这么少，编曲歌词都挺好的,0,DesiredHappiness,134887887
37,2019,7,22,當年去kTV必點啊！居然評論這麽少,3,小SSSS小,128599827
38,2019,7,21,情绪不好 冲到极限[晕],0,-Mikiii,35184021
39,2019,7,21,啊啊啊啊啊老大！！！！,0,帐号已注销,1682941277
40,2019,7,20,每天日推一首我姿,0,lm_stef,258724583
41,2019,7,19,468顶,0,孙燕姿丶,1813871469
42,2019,7,15,打卡,0,Kkmiami,455050359
43,2019,7,15,我要你零缺点😶,0,不会跳舞的梵谷,453492497
44,2019,7,10,这首歌当年多火呀,2,刘大萌咩咩,56744554
45,2019,7,7,刚才突然哼了哼这歌，进来看看怎么才这么一点评论啊……,0,stefaniemisaki,3012375
46,2019,7,5,一点都不过时。。。一样可以唱跳，rap!,1,Bryan-S,277302013
47,2019,7,3,这评论也太少了吧,0,Chris天才钊,130737530
48,2019,7,3,第一次听 觉得燕姿的歌真的一点都不过时,0,柑橘獝,129513265
49,2019,6,27,天哪，那阵身边人都会唱,0,123飘过,130643842
50,2019,6,27,当初多火这首歌，这评论太少了,0,123飘过,130643842
51,2019,6,23,第一次听这首歌的时候还是磁带[吐舌],0,慧玲是个好姑娘,1599960882
52,2019,6,22,明日之子第三季,0,俺总是干活,1791409012
53,2019,6,16,窝姿的歌评论居然这么少？,0,帕克Dk,109129114
54,2019,6,16,是的，很相似,0,氺_夭,18717548
55,2019,6,7,现在要当喽哈哈哈哈,3,嗯呢哦漏,1648541949
56,2019,6,6,点字去掉直接接你是我的姐妹你是我的baby[大哭],2,十四阿七,106519156
57,2019,5,26,屌屌的酷酷的,0,小茜老师,1628924173
58,2019,5,24,对啊！燕资穿着粉色背心的封面啊,0,囵家丫,81569677
59,2019,5,23,老粉来握手～前几盘专辑都是磁带啊，攒了零花钱买的,0,Eavi_Y,276960141
60,2019,5,21,冷门歌也好听[可爱][可爱][可爱],0,windbreaker风衣,1482000199
61,2019,5,20,我都会唱的歌居然没有999+,1,猫不厌语,1315650840
62,2019,5,18,依然好听  喜欢燕姿！,1,用户1546729996,1546729996
63,2019,5,1,中森明菜tattoo?,0,ZARDRAZ,342740798
64,2019,4,30,这歌居然没有999？,1,深深呼吸fate,1547633662
65,2019,4,29,高音难到想哭,0,云云云云流,1334766690
66,2019,4,28,这个封面做我女朋友吧,0,小懒男121,607826579
67,2019,4,27,"我觉得有钱没钱都无所谓，关键是要过得开心[大笑]
（来自iPhoneXS Max 镶他妈10086颗钻版856G客户端）
1分钟前
位置•迪拜帆船酒店总统套房",4,查拉黑哟黑凤梨,270383093
68,2019,4,16,这个抛物线开口朝下,2,Hzhe1996,81862908
69,2019,4,10,是不是深圳的肯德基。。我几天前刚在那里听到,0,结菜,57780277
70,2019,4,9,中森明菜 tattoo?,1,MelodyShetty,60126496
71,2019,4,7,好怀念大学宿舍上铺兄弟的燕姿歌单啊,2,湖边的卡夫卡,9965161
72,2019,4,6,好有个性,0,云云云云流,1334766690
73,2019,3,31,为什么？,0,自饰者180816,1557408903
74,2019,3,26,这首歌真的是承载着我的青春啊，大学的初恋比我小一岁，那个时候我听张学友和伍佰，他听孙燕姿，因为喜欢他所以孙燕姿的第一首歌就是零缺点，那个时候喜欢他喜欢到没有自我了，后来我听了开始懂了我慢慢的走出来了,1,山沟里的小半仙儿,51586537
75,2019,3,25,我知道,0,流浪的帆布鞋,1717580353
