index,year,month,day,content,likecount,nickname,user_id
1,2019,11,26,先听版没有什么不同啊,0,GRAPEy,118431735
2,2019,11,21,专辑预购时的抢先听吧，觉得好听再买实体专辑,0,笑了一个清晨,599945666
3,2019,7,23,看不见最赞吗... [汗],0,霉头霉脑云散月现自在飞花slay,42294326
4,2019,4,17,这不科学,0,十八-云,301423713
5,2019,3,26,这啥,0,摘芝,1399461833
6,2019,3,25,长的漂亮（帅）的才可以听,3,啼花,269161065
7,2019,3,24,瞎写的岁数，不显得年轻吗[大哭][大哭],0,鱼籽花花,98027185
8,2019,3,23,95后，05年，最多10岁，失恋！！！！有点厉害呀嘻嘻。兄dei 。还有，失恋没什么大不了的。加油。,0,林间池鱼,252982689
9,2019,3,11,什么叫《先听版》？,0,花儿美不过你灿烂笑,2968781
10,2019,1,31,爱一个人就是这样，不管那个人飞离你多远，你也希望ta过的好，也告诉ta我过的很好，我就在背后一直默默支持你,1,未成年的小懒货,129534656
11,2019,1,24,不要怕 还有潍坊的风筝节  有好多风筝等着你,1,HG巧克力大叔,123353894
12,2018,11,28,陪伴我写作业的歌[鬼脸],0,言韦草,123915077
13,2018,10,8,留名,0,远离街道的灯,429613915
14,2018,9,26,"因为我知道你是个
容易担心的小孩子
所以我会在乌云来时
轻轻飘落在你怀中",1,无法死去,74023708
15,2018,8,2,贼喜欢这张专辑了,2,_诗芊,81037679
16,2018,4,26,两首风筝的原因是：这张专辑的11-16首是当年的预购CD曲目。预购CD里有个掐头去尾的先听版《风筝》，但是收到网易云里的时候网易云的小编直接给替换成完整版的了。就搞差了。预购CD的下载在电驴上有。,25,海东青_vach,55879681
17,2018,4,9,怎么两首 风筝？,0,---林深---,477371558
18,2018,4,6,额额,0,Tough轩,93579824
19,2018,3,28,风筝这张专辑首首精品了  跟是时候一样了,1,空港里的露絲瑪莉,249970032
20,2018,3,18,太好听,0,__辞旧__,74652900
21,2018,1,25,两首风筝什么鬼？,1,yanzicst,79056105
22,2017,12,26,此歌必会被选秀捧火，立话为证,2,已然丶,344817666
23,2017,12,3,有两个风筝。另一个风筝的评论，很多,2,妨碍啊,417486257
24,2017,11,24,为什么这张专辑有两首风筝…,2,dk_mess,45779926
25,2017,11,21,燕姿燕姿❤️,2,双子_faye,626804992
26,2017,11,16,一样一样的，然后到现在…,0,人鬼百合,406443986
27,2017,11,11,第一次听《风筝》是在2005年的秋天，刚刚失恋后不久的日子里，自己躲在被窝里偷偷哭，尤其是最后燕姿深吸气那几句，眼泪真的不能自己。后来偶然在《小张和小丽》看到小丽在车站静静地为小祥唱这首《风筝》，竟然笑了，可能不能身临其境，永远不能体会其中的滋味吧。,2,鱼籽花花,98027185
28,2017,11,11,路太远我忘了,0,活着只求好玩,266447964
29,2017,11,10,或许是 因为以前都是用mp3听的，所有想说的话都凝实在歌里，评论也只能跟身边人交流。,2,LovenBook,258521062
30,2017,11,10,不可能，评论这么点！！很多人入燕姿的坑都是这首歌开始的吧,1,shadowicy,65796481
31,2017,10,20,初中时候的歌，现在听觉得这歌词对那时的我来说很可能太成熟了……,1,凝静院,285672254
32,2017,10,19,我也知道天空多美妙 请你替我瞧一瞧,1,bbblueturtle,305748209
33,2017,10,11,爱燕姿了20年,2,sty海角天涯,415578058
34,2017,10,4,把梦想找到 要过得更好,0,龙背墙jz,476722310
35,2017,10,1,好假啊，这么点人,2,zi柒柒,310895700
36,2017,9,29,说人气不足的 这个专辑第二首也是风筝 999+,0,CharlieV5,6619192
37,2017,9,24,啥情况，我初二爱上燕姿的第一首歌。。。,1,-有姿有菋-,129649056
38,2017,9,19,刚刚做梦，在梦里看到一本书，里面夹着各种我熟悉的老专辑的封面，看到风筝的时候，竟然控制不住，哭了，哭了。,1,生命de旅途,399188008
39,2017,9,9,这人气……怎么可能(ﾟoﾟ;,0,天草树虫,329743285
40,2017,9,8,这不科学啊，这点人[惊恐],0,雪花气息,408899309
41,2017,8,27,快要到七夕了，我喜欢的女生我却不能给你什么，你对我的好我都记得，你说孙燕姿是你喜欢十年之久的偶像，我要在她的每首歌下留下足迹，我想告诉你垦晴008我好喜欢你…你是我的可遇而不可求,0,圈圈圈不住你,547941773
42,2017,8,25,快要到七夕了，我喜欢的女生我却不能给你什么，你对我的好我都记得，你说孙燕姿是你喜欢十年之久的偶像，我要在她的每首歌下留下足迹，我想告诉你垦晴008我好喜欢你…,0,圈圈圈不住你,547941773
43,2017,8,14,燕姿[爱心],0,矫情致死,343906193
44,2017,8,9,[爱心],0,wokansheihewoyiyang,113113844
45,2017,8,4,同类搭配听,0,帐号已注销,108210075
46,2017,8,4,我很好 后来的你好不好,0,121个逸儿,129095979
47,2017,8,1,你我，风筝。时间已经被风吹走，你也要走了吧,0,shadow4,943366
48,2017,7,23,真的不错哦,0,三口一头猪98,371633107
49,2017,7,15,+,0,SelfishFISH,52566492
50,2017,7,9,大风吹过,0,我是丑王,127718208
51,2017,6,20,当你发现评论少的不科学的时候，你会发现，评论都在另个版本里,47,爱燕姿的猥琐共,99190907
