index,year,month,day,content,likecount,nickname,user_id
1,2019,10,16,和上一首衔接的我几乎没感觉出来🤭,0,丶Giorgio,107022613
2,2019,10,14,演唱会版本的也爱了，期待2020鸟巢,0,LapIace,355418011
3,2019,9,15,前五十,0,椥裕,83021924
4,2019,9,2,好棒啊呜呜呜呜呜呜呜呜呜我爱她,0,漂浮群岛et_moi,101098936
5,2019,6,12,风筝的live还是喜欢05演唱会的版本,1,我走在少了你的风景啊,59127452
6,2019,1,18,jazz,1,楔形文字,5803180
7,2019,1,7,这就这么接过来了吗？爵士风筝,2,currencybao,258261214
8,2018,8,24,start的编曲太赞了,1,A-KUONG,577837024
9,2018,8,3,🎧,0,_诗芊,81037679
10,2018,4,8,啦啦啦啦啦 唯爱燕姿,1,云_安安,1395846467
11,2017,7,27,最喜欢的一个版本,3,笨蛋女神阿库娅,417568174
12,2017,7,6,[呆]我要我要我要姿媽。,3,鄒爸比,85768778
13,2017,6,14,留名，万一我被顶上去了呢,3,放晴灬,287647506
14,2017,6,9,爵士姿！！！,5,小稻穗kepler,199023
15,2017,6,4,不伤感，依然爱她,1,是螺纹呀,59982102
16,2017,5,5,现在也一样 燕姿演唱会现场很好听的,6,纳小子真帅,427219096
17,2017,5,5,第一次听风筝的改编。。。原版好伤感，改编的好调皮😜,1,明天晴天--,37329385
18,2017,5,3,美妙~,0,阿Dar,94482447
19,2017,2,8,。那时候三个字好伤感,5,克卜勒星球,123482064
20,2016,12,3,不一样的风筝,3,帐号已注销,124859943
21,2016,12,3,那时候的燕姿现场和CD毫无差别[亲亲][亲亲],13,取一个昵称让你们记得我,305297416
22,2016,9,29,爵士风筝,1,starrylee,29431936
23,2016,9,1,好哒,1,爱姿海,126397948
24,2016,8,31,知道了,2,脫氧核糖核酸e,60580222
25,2016,7,27,我是王海峰我喜欢孙燕姿,3,爱姿海,126397948
26,2016,6,30,[亲亲][亲亲][亲亲][亲亲],1,开点药给你吃好吗,36843947
27,2016,6,16,[大笑],2,相知相依相守,110853684
28,2016,5,5,天呐😱这个版本的风筝第一次听啊～,2,孙燕姿的手,100429699
29,2016,4,10,[憨笑],0,蓝石头55,56061551
30,2016,4,10,第一次听这个版本的改编^_^,1,蓝石头55,56061551
31,2016,2,19,爵士版风筝？？[色],1,亿吨奶糖,54428686
32,2016,1,24,留名,0,海外小仙人,65586509
33,2016,1,10,[强][强][强],1,陈茄子,121869870
34,2016,1,5,好有灵气的改编[亲亲],0,不二嗷,51592252
35,2015,12,2,[生病][生病],0,柠檬猪丨,33385545
36,2015,11,19,看到有人微博上说，当我放开一只气球，它就立刻飞上天了，我明白它在地球上有多么不快乐。想想离开一个人之后也是这样吧。,4,春天里圆滚滚的小猪,95091629
37,2015,8,5,哪期,0,勇敢的尝试是成功的一半,65067747
38,2015,7,23,姿妈生快 _(:3」∠)_#美人如斯#专注分享live三十年,2,最好有种医学汽水,52516941
39,2015,6,30,天空多美妙,0,HCQ666,42852790
40,2015,6,18,现场版好听到爆,0,二蛋二蛋,65106019
41,2015,3,27,好喜欢这个版本的live 好听到跳起来 > <,2,mylittlekiwi,50573437
42,2015,3,19,[色],1,study中whoops,48435532
43,2015,3,19,网易这期节目叼爆了,1,蛋猪,48066417
44,2015,3,19,[哀伤],0,霍青桐_,29457378
45,2015,3,19,❤️,0,Eristeqet,45710132
46,2015,3,19,没人吗？,0,tycaooo,56683370
