index,year,month,day,content,likecount,nickname,user_id
1,2019,10,28,燕姿,2,M迷人R,445580801
2,2019,10,27,对不起,0,Crazon先生,1352029658
3,2019,9,24,和你有关系么？,1,娘子快点和牛魔王出来看上帝,70003863
4,2019,9,24,你是不是没有自我？喜欢什么歌还要因为别人？,0,泥萌介些憨憨好,397858323
5,2019,9,24,因为某人而喜欢她的歌，她的歌还能听到，可那个某人却一直没回来……,0,娘子快点和牛魔王出来看上帝,70003863
6,2019,9,19,买的第一盘孙燕姿正版就是风筝,1,Bluelizm,40289200
7,2019,9,11,也许你丫不会听到[呲牙][呲牙],0,音乐不停我就不停,65211927
8,2019,9,4,08年的时候喜欢听遇见、天黑黑、我不难过，19年的现在喜欢听风筝、隐形人······,1,Mrs-rainbow,100480946
9,2019,8,27,好听的就nm离谱,1,帐号已注销,62075290
10,2019,8,27,把梦想找到，要活得更好,0,sstefish,113524357
11,2019,8,18,真好,0,孙燕姿的秘密情人,1359976045
12,2019,8,13,刷到999,0,沙夫_,1471291165
13,2019,7,30,忘了说，18年了。,0,对方正在输入8724,549961051
14,2019,7,30,和初恋的“定情”曲，现在听起来心里还是觉得荡漾。,0,对方正在输入8724,549961051
15,2019,7,29,"网上的燕姿哪去了
一眨眼不见了
谁把她的网线剪断了
你知不知道",8,空白不白_,323392968
16,2019,7,29,十三岁的时候，花光了所有积蓄买了一部随身听和所有能搜集到的孙燕姿的卡带。之后是三年又三年，风筝断了。我还没有走掉。,0,木夏鳴,436014843
17,2019,7,21,评论那么少是因为...家里都还有她的CD吗？,4,丨流刃若火,72398142
18,2019,7,20,因为这是精选集里的……,0,晴空千堆雪,97155175
19,2019,7,16,我爱的歌,0,超慢的小羊子,390500048
20,2019,7,8,不接电话，答应的事一推再推，不是忙，是因为有比你更重要的人让他变忙。,2,tidany,105598275
21,2019,6,21,为什么这么少评论！,1,柯拾柒,261921181
22,2019,6,16,有没有和我一样，听过陈升版风筝然后想听孙燕姿版本的？,2,夏至清幽,1479846828
23,2019,6,13,我很好 后来的你好不好,0,Heyheyxfy,45158791
24,2019,6,12,我不是来听歌的，我是来缅怀青春的,3,大唐唐人,373885087
25,2019,6,6,因为有另一个版本[大哭],0,标量-时间,1467060801
26,2019,5,20,我也知道天空多美妙 请你替我瞧一瞧 谢谢…了…［/泪目］,1,Kepler_克卜勒,495277397
27,2019,5,17,飞了,1,加班费的,263834986
28,2019,5,16,早安，你们。,0,为非作歹无奈,250814187
29,2019,5,14,姿姿姿姿！,0,Empty3君,131176303
30,2019,4,21,为啥39秒那有一个可怕的男声“啊！！”........吓哭[惶恐],0,-CGam,1388630339
31,2019,4,19,这么好听的歌，评论这么少是为什么,0,放远回忆,354536995
32,2019,4,2,愿人人都有勇气做个追风筝的人,1,思若有神,272887336
33,2019,3,11,一个人错过的风景 总会有另一个人替你去看,0,Her4__,508682605
