index,year,month,day,content,likecount,nickname,user_id
1,2019,11,26,我现在大冬天也穿风衣,0,木匠邓,637691119
2,2019,11,24,姿妈姿妈我爱你啊！,1,阿拉甜辣丝,261420931
3,2019,11,24,我想要两颗西柚。,0,踏星客,135330015
4,2019,11,23,大爱！,0,成长是变得更加温柔,582827482
5,2019,11,23,等我老掉牙，你还是我心里的宝贝。,1,海盗7号z,381001273
6,2019,11,23,我还是很爱你！,1,海盗7号z,381001273
7,2019,11,23,今年的冬天比以往冷得晚,0,Wilreams,366115209
8,2019,11,22,今天有点儿冷，但是我没有钱买风衣[呆][呆],0,贰货人生包小哲,89186948
9,2019,11,20,燕姿，看看你的“黑粉“[多多捂脸]哈哈哈,0,半成熟爱姿,410632973
10,2019,11,20,来昆明开演唱会好吗,0,半成熟爱姿,410632973
11,2019,11,20,二十周年演唱会什么时候官宣呀,0,半成熟爱姿,410632973
12,2019,11,20,成都刮风了，我也想你了,0,踹晕,1332940597
13,2019,11,20,白色风衣 蓝色的你,0,超级凶超级可爱,78705205
14,2019,11,20,我来了，燕姿,0,鱼刺上头,335213083
15,2019,11,18,天冷，记得穿件风衣,2,北海道道草,433104965
16,2019,11,18,曾在一起 不在一起 都是感情,1,ThePocariSweet,250124256
17,2019,11,18,降温了 来单曲循环了[憨笑],0,非也非飞,440312810
18,2019,11,18,很想回去过冬天，虽然很冷很干需要穿很厚的衣服，但很想念寒夜里买烤红薯吃裹上小被子缩在沙发里看电视还有假期里早上太阳晒到被子上还可以赖着不起床的时刻。,0,么得咸心情,328161252
19,2019,11,17,北京刮风了,1,无条件_N,287109524
20,2019,11,17,后来呢,0,槐节,33410203
21,2019,11,16,去吹吹风吧，能清醒的话感冒也没关系,6,lunar风,617020154
22,2019,11,16,适合听这歌的季节,1,很爱过谁会舍得2002,315046609
23,2019,11,15,从去年听到这歌开始就想买件风衣，尽管被朋友说自己体态不好穿风衣不好看；尽管mv里那件需要两千多，但我还是想竭尽所能地去买那件风衣，不，是两件，还有一件要等我喜欢的人答应我了默默地拿出去对他说：穿上这件衣服陪我出门找寻星星吧。,1,沉睡中的左边人,346575435
24,2019,11,15,如果做梦梦到一个人，说明他想过你，或者正在想你，有提及你,1,我不喝芹菜汁,1937337701
25,2019,11,15,关于我的故事没有发生，关于她们的故事却在我的脑中千回百转，最后我们都听懂这首歌，明白了一些道理。都要好好挥别曾经,1,goldf_,275866768
26,2019,11,14,19岁他唱着爱情证书流泪挽留，26岁我听着我怀念的去2000公里外找他，如今我们在一起18年啦，婆婆已经接受了，还跟我们住一起，清淡且幸福着,2,ennyhui,372861245
27,2019,11,14,555我来了～,1,卜噜卜噜的,60075
28,2019,11,12,花了钱的歌就是好听[口罩],0,至清faye,419773510
29,2019,11,12,一直觉得这歌毁在歌词上了,1,大武猫,93433960
30,2019,11,11,风衣和极美，最爱的两首,1,氧气哇_,337000450
31,2019,11,11,12月到了就会穿长袖了   在广东  也许很难碰到穿风衣的人吧,0,固执难缠2,1487853933
32,2019,11,11,这张专最爱风衣,2,彩虹金刚刚刚刚,1401962569
33,2019,11,10,又是一年光棍节买了件风衣😂😂😂,4,亦子年,1745224415
34,2019,11,10,不过现在202了,0,-澍辞-,427704425
35,2019,11,9,两周年了。,1,guoyuxiangyuxiangguo,511723860
36,2019,11,9,听出鸡皮疙瘩，回忆啊！,1,-SherrySean-,538287010
37,2019,11,9,难顶 那年冬天就是听着这首歌过去的，两年整了。就老想回到过去。,1,打夺夺QAQ,75001123
38,2019,11,9,两年来打卡[亲亲][亲亲][亲亲],2,aprilworld,476591793
39,2019,11,8,我一定要看一场燕姿的个演！内场的那种！！,3,全网通缉老王,276015583
40,2019,11,8,不知不觉就两年了,1,DEER_SIR,1713259
41,2019,11,8,嘿！我们能一起去看孙燕姿的演唱会就好了！,2,一点半刀,565963344
42,2019,11,7,年近古稀也像少女一样爱着你,1,你要疏远我吗,349786073
43,2019,11,7,我买了一件风衣 喜欢秋天 带点清冷的天气,1,FINELXW,277058195
44,2019,11,7,我现在还不会放弃的 在努努力 也许还可以呢,0,小D的萝卜,289815967
45,2019,11,7,那个冬天这张专辑陪了我，不敢听,2,奶酪在这里,337828208
46,2019,11,6,我想知道现在用着蒸汽眼罩哭明天眼会不会肿,1,孙鳌头呀,502416807
47,2019,11,6,这首歌的mv是我最爱前三名,0,SummerCat22,581287620
48,2019,11,6,谢谢你曾来临 曾离去,1,cookiexxx7,400972541
49,2019,11,6,有木有群阿！拉我一把感谢[钻石][钻石][钻石],0,Hei好想你你大爷的,622173719
50,2019,11,5,你好幽默啊,0,远离恋爱,420542387
51,2019,11,5,这个天是最适合风衣的[亲亲],1,Yohawang,260273115
52,2019,11,4,我在深圳  还是穿着短袖  要是脱了衣服  那可就光膀子了,0,固执难缠2,1487853933
53,2019,11,4,曾在一起，不在一起，都是感情。,0,海盗7号z,381001273
54,2019,11,3,2020世界巡回演唱会，我们一起极美欢庆！！！！！！,2,blueberrypie,41491137
55,2019,11,2,我晕了 也太好听了吧 绝对能排到全专top3,4,梦想当个蒙特利打工仔,335815757
56,2019,11,2,说的真好,0,苜蓿叶尔,426630182
57,2019,11,2,国王 你好呀,1,zL该去往哪里,99989498
58,2019,11,1,后来他走了，自己明白了很多,0,十三孤社,99670239
59,2019,11,1,我也是这样，刚遇到感情很冲动，不懂事,0,十三孤社,99670239
60,2019,11,1,后来，我发现听歌的时间不同，场景不同，听歌的感悟也会很不同。今天，傍晚，太阳西落中，开着车走在一条车很少的大道上。像是追着太阳在走，也像是追着回忆在走，听着这首歌，好像突然懂了什么。,3,7things_,1318437548
