index,year,month,day,content,likecount,nickname,user_id
1,2019,11,26,没有预计就将计就计,1,reacad,322421606
2,2019,11,25,失意的时候每首苦情歌都像在唱自己,0,珈曳,637769065
3,2019,11,25,好听,0,小虎牙的日子,540820813
4,2019,11,25,单曲循环一天了,0,臭臭_skull,62515648
5,2019,11,25,快乐该怎么选择」,0,也不是猪只打呼,355734135
6,2019,11,25,"给云友们九条建议: 1.谈恋爱首先要找你爱的，如果结婚就要找爱你的 2.千万别输在”等""这个字身上 3.永远留住30%的神秘 4.不要低估任何一个人 5.别把没教养当做有气场 6.谈恋爱可以穷，结婚不可以 7.谈恋爱一定要找我 8.牢记第7条，前6条没什么卵用 9.前八条都是抄的，但是7，8条是真的",0,曾几何时爱过的人,428620627
7,2019,11,25,心动再久，如果一直没有回应的话，也该放手了。我累了。,1,我真的想早睡,67349423
8,2019,11,24,在飘着……,0,苑子潯的小号,1548957065
9,2019,11,24,太宰治否认三连:我不是我没有我没说过,0,祎咫乌w,31688463
10,2019,11,24,《人间失格》里有这样一句话：仅一夜之间，我的心判若两人。他自人山人海中来，原来只为给我一场空欢喜。你来时携风带雨，我无处可避；你走时乱了四季，我久病难医。,2,幼婴女李佳琪,277994754
11,2019,11,23,黑夜清晰过白昼,0,猪崽好困,340882744
12,2019,11,23,这是个梦想，而你一定会实现的,0,丧失记忆的某人,495784216
13,2019,11,23,我怀念的 2.0[多多大哭],0,酷酷的阿姿,261060427
14,2019,11,23,今天日推，很符合我的心情,0,懒懒的小安,39795937
15,2019,11,22,这首真的无敌,1,Ephemera_-,289564188
16,2019,11,22,一片空白,0,艾婷21,1396899152
17,2019,11,22,究竟…什么是爱呢…,0,Ascesis,1291273942
18,2019,11,21,飘着,0,南风呢喃1712,1322602499
19,2019,11,20,开头好恐怖声音,0,记忆额人,328767530
20,2019,11,20,或许从未遇见才是最好的邂逅,0,抽烟喝酒一样不会,80197802
21,2019,11,20,夜 夜 夜…,0,逸秋1688,562106185
22,2019,11,19,还年轻，加油＾０＾~,1,你丶梦见,484345080
23,2019,11,19,[多多调皮],0,不言不语灬,265489194
24,2019,11,17,不喜欢改编不听就完了。说实话我歌荒了，我就是想听喜欢的歌的改编。,0,等灬枫吹来,255618707
25,2019,11,17,我进退不得，谁救我。我以为你是来救我的，结果差点要了我半条命。,3,锦谣儿,580361487
26,2019,11,17,加油,0,隔岸看火,489159143
27,2019,11,16,加油,0,沃德的小娇妻,424028822
28,2019,11,15,加油,0,快和我回家呀你,1387604459
29,2019,11,14,我熬不过去了,5,温柔小媛_-,2038205463
30,2019,11,14,这首歌 需要你 感情爆发好强,1,虾细声,437360100
31,2019,11,13,当黑夜清晰过白昼T T,0,xuelethe,314818164
32,2019,11,12,都好喜欢啊quq,0,柒月七常安,87873729
33,2019,11,11,我爱错我只能够选择沉默不该嘶吼,0,ffffeif,105123646
34,2019,11,11,明年会有这首歌的现场吗,0,chenyuru0924,266077689
35,2019,11,10,太好听了,2,没有我没有在,95770983
36,2019,11,10, 太绝了叭这首歌！！！,2,Anviecho,572369594
37,2019,11,10,副歌响起 一身鸡皮疙瘩 ,2,薄荷味儿的绵绵酱,557773481
38,2019,11,8,飞不进你梦中， 偷一点感受,4,尘己,1502411404
39,2019,11,8,超级爱逆光专辑,0,荼青纤,1529021229
40,2019,11,8,那么好听的歌不能火！,3,荼青纤,1529021229
41,2019,11,6,林丹，不懂?,0,得意尽欢吗,1995833702
